FSCS Key,Library Name,Economic Tier,Library Type,K-12 Schools,Higher Education,Local Employment Office,Health & Human Services,Parks & Recreation,Other Local Government,Economic Development Orgs,Local Businesses,Local Health Orgs,Faith Organizations,Agricultural/Environmental Orgs,Youth Organizations,Adult Organizations
NC0103,ALAMANCE COUNTY PUBLIC LIBRARIES,2,County,Cooperative,Communicative,Communicative,Cooperative,Cooperative,Communicative,Communicative,Cooperative,Communicative,Communicative,Communicative,Communicative,Communicative
NC0001,ALBEMARLE REGIONAL LIBRARY,1,Regional,Communicative,Collaborative,Communicative,Communicative,Communicative,Cooperative,Cooperative,Communicative,Cooperative,Communicative,Communicative,Communicative,Communicative
NC0016,ALEXANDER COUNTY LIBRARY,1,County,Communicative,Communicative,,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative
NC0002,APPALACHIAN REGIONAL LIBRARY,2,Regional,Collaborative,Collaborative,Communicative,Communicative,Cooperative,Collaborative,Collaborative,Cooperative,Collaborative,Communicative,Collaborative,Collaborative,Collaborative
NC0003,AVERY-MITCHELL-YANCEY REGIONAL LIBRARY,2,Regional,Collaborative,Communicative,Communicative,Collaborative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Collaborative,Cooperative,Collaborative,Cooperative
NC0004,BEAUFORT-HYDE-MARTIN REGIONAL LIBRARY,2,Regional,Communicative,Collaborative,Collaborative,,,Collaborative,Communicative,Collaborative,Communicative,Communicative,,Collaborative,Communicative
NC0017,BLADEN COUNTY PUBLIC LIBRARY,1,County,Communicative,,,Collaborative,,Communicative,,,,,,,
NC0046,BRASWELL MEMORIAL PUBLIC LIBRARY,1,County,Communicative,,,,Collaborative,Communicative,Communicative,Communicative,,Collaborative,Collaborative,Collaborative,Communicative
NC0018,BRUNSWICK COUNTY LIBRARY,2,County,Communicative,Communicative,Collaborative,Communicative,Collaborative,Collaborative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative
NC0019,BUNCOMBE COUNTY PUBLIC LIBRARIES,2,County,Collaborative,Collaborative,Communicative,Collaborative,Collaborative,Collaborative,Communicative,Collaborative,Cooperative,Collaborative,Collaborative,Collaborative,Collaborative
NC0020,BURKE COUNTY PUBLIC LIBRARY,1,County,Cooperative,Cooperative,Communicative,Cooperative,Collaborative,Cooperative,Communicative,Cooperative,Cooperative,Cooperative,Cooperative,Collaborative,Collaborative
NC0021,CABARRUS COUNTY PUBLIC LIBRARY,3,County,Collaborative,Communicative,Communicative,Collaborative,Collaborative,Collaborative,Communicative,Cooperative,Collaborative,Communicative,Collaborative,Collaborative,Collaborative
NC0022,CALDWELL COUNTY PUBLIC LIBRARY,1,County,Communicative,Communicative,Cooperative,Collaborative,Communicative,Cooperative,Cooperative,Cooperative,Cooperative,Communicative,Cooperative,Communicative,Cooperative
NC0107,CASWELL COUNTY PUBLIC LIBRARY,1,County,Collaborative,Collaborative,Collaborative,Collaborative,Cooperative,,Collaborative,Cooperative,,Cooperative,Cooperative,Cooperative,Cooperative
