FSCS Key,Library Name,Library Type,% Adult Fiction,% Adult Non-Fiction,% Young Adult Fiction,% Young Adult Non-Fiction,% Juvenile Fiction,% Juvenile Non-Fiction,% Circulation Physical,% Circulation Digital,Circulation Per Borrower,Collection Expenditure Per Use,Total Income Per Use ($),Collection Use Per Capita,Auto Renewals Offered,Fines Adult Materials,Fines Young Adult Materials,Fines Juvenile Materials,Fines A/V Materials
NC0103,ALAMANCE COUNTY PUBLIC LIBRARIES,County,0.20181016344385114,0.053852630600450126,0.01984100737043638,0.0004433345191339961,0.1943646462172661,0.04551508141802691,0.6620271470887402,0.3225687660105435,6.44853,0.5903249391755766,6.158820390527658,3.29419,No,No,No,No,No
NC0001,ALBEMARLE REGIONAL LIBRARY,Regional,0.3574907235621521,0.08216273522395971,0.024334084283063873,0.0026338457460906442,0.2070964749536178,0.0332626557116353,0.820683143387225,0.17731248343493242,1.49452,1.7179134640869336,19.925771932149484,0.93556,No,Yes,Yes,Yes,Yes
NC0016,ALEXANDER COUNTY LIBRARY,County,0.31344280741235625,0.05459052709307641,0.04912268363866521,0.0002637223531066493,0.2910791518689124,0.04681950842153381,0.8625127465804001,0.13701255318400787,7.21436,0.7957382467737966,10.230897710889975,1.56581,No,No,No,No,Yes
NC0002,APPALACHIAN REGIONAL LIBRARY,Regional,0.254200805699606,0.0813494915541599,0.028147886052108786,0.0007316165223705113,0.2744704533811003,0.05243497458692231,0.7888926974719609,0.2043679533534574,5.76063,0.27880486663202086,4.944367511066391,3.69463,,,,,
NC0003,AVERY-MITCHELL-YANCEY REGIONAL LIBRARY,Regional,0.3225239051897326,0.08293742832754206,0.017735969442743946,0.0007932470533458644,0.245397873753007,0.04468050250476379,0.7722604954345184,0.224523405099199,2.65307,0.6276825977116547,9.190919821691857,2.25842,No,Yes,Yes,Yes,Yes
NC0004,BEAUFORT-HYDE-MARTIN REGIONAL LIBRARY,Regional,0.4079743218672307,0.04439867898623326,0.018145385728598463,0.0015028386953133696,0.24865486659987385,0.05373112174848788,0.8486956844409811,0.1482800846042525,3.05285,1.370718765074771,16.324753794203865,0.88311,Yes,Yes,Yes,Yes,Yes
NC0017,BLADEN COUNTY PUBLIC LIBRARY,County,0.27933208988364866,0.05631050714983569,0.020309678183379223,0.000503301062853421,0.3543535541936821,0.03851733428072357,0.8175089557983243,0.17799094058086865,3.47715,0.6788643159546437,19.348689936939337,1.1488,Yes,Yes,Yes,Yes,Yes
NC0046,BRASWELL MEMORIAL PUBLIC LIBRARY,County,0.17709986228848892,0.06308044925402294,0.01717820060135615,0.0020299343845153173,0.21918526248576425,0.041594594465807995,0.5740044506073125,0.4217069556225847,3.42912,0.648745109811826,10.560195178667582,2.33863,No,Yes,No,No,Yes
NC0018,BRUNSWICK COUNTY LIBRARY,County,0.43232915501386693,0.059999208269393325,-2.3286194313977073e-06,-2.3286194313977073e-06,0.11714585773532446,0.015736810117385706,0.6800570046036806,0.31511576731503194,10.73651,0.36937725730546134,3.4010231953781562,2.99156,No,Yes,Yes,Yes,Yes
NC0019,BUNCOMBE COUNTY PUBLIC LIBRARIES,County,0.1402062079038156,0.08019338515614305,0.019060787899738325,0.002058829032985583,0.2143939774449641,0.04114802000821365,0.5588644875874423,0.4396385403340414,15.77367,0.36894846575134704,3.327331213936022,7.48107,No,No,No,No,No
NC0020,BURKE COUNTY PUBLIC LIBRARY,County,0.2546730548620015,0.05582922824302135,0.025161391906786332,0.007944755606541152,0.21223654317655263,0.04666531704793396,0.622574622669096,0.3771374586679263,15.04976,0.5983849562498594,7.482017275119778,2.53371,,No,No,No,No
NC0021,CABARRUS COUNTY PUBLIC LIBRARY,County,0.14353412359781093,0.053711325961067403,0.039094852673318733,0.003029440213044807,0.3519813837025747,0.07498858987618445,0.7130845856554855,0.28691541434451456,11.70816,0.5888597413146975,4.624678841652605,4.13135,Yes,No,No,No,No
NC0022,CALDWELL COUNTY PUBLIC LIBRARY,County,0.24695863214015043,0.07325567641685905,0.042752191493369666,0.0013536660694180988,0.24341018710381174,0.05307772846948118,0.7901029049060538,0.20063609162873627,12.01859,0.7403545816558534,7.119481839408768,2.82553,Yes,Yes,Yes,Yes,Yes
NC0113,Carteret County Public Library System,County,0.2854549417911566,0.07610065463661196,0.02357304886273067,0.0017404750713560719,0.18511025279463755,0.049894754051458115,0.6960776299566074,0.3006491869835626,6.67086,0.5473504587905912,4.5740979161983395,4.29966,Yes,No,No,No,No
NC0107,CASWELL COUNTY PUBLIC LIBRARY,County,0.253024428978467,0.09780933252370498,0.041524592461114486,0.010696436078284834,0.30281657246952215,0.06600028025596712,0.8712690924377599,0.128357232939418,5.60592,1.48694474286515,20.755208557148862,0.95567,No,Yes,Yes,No,Yes
NC0023,CATAWBA COUNTY LIBRARY,County,0.1830724534326338,0.04387887825019348,0.0225674958365918,0.002878930925917672,0.24795476370885722,0.03651643279995786,0.6789272791367664,0.32085796598769006,4.87266,0.7182882010429793,6.5611570425417245,4.19089,Yes,No,No,No,No
NC0071,CHAPEL HILL PUBLIC LIBRARY,Municipal,0.13694069155344343,0.10007783916803054,0.028426919714557315,0.0025136287981313045,0.3870689768905856,0.06967890128035363,0.7947177687864242,0.20491074187462546,23.54416,0.146947295036833,2.3556875226105074,23.30753,Yes,No,No,No,No
NC0045,CHARLOTTE MECKLENBURG LIBRARY,County,0.07167040195782773,0.04947062282092949,0.01426009776121184,0.0016492051748788832,0.17324909582811732,0.03850980324091652,0.37600966764225385,0.6239903323577461,7.70379,0.5736077271711515,6.884785179174649,8.21982,No,No,No,No,No
NC0104,CHATHAM COUNTY PUBLIC LIBRARIES,County,0.16358215197601195,0.07667944994788874,0.014520323393404637,0.010455982002219366,0.23253766683193863,0.09369571743214573,0.6749842317045611,0.3248100215528145,8.00262,0.4815384459712427,8.291020335198546,3.82951,Yes,No,No,No,No
NC0024,CLEVELAND COUNTY MEMORIAL LIBRARY,County,0.28691667857025127,0.076212242745223,0.0189047237086442,0.0009229856387829775,0.2472447779889901,0.04393521519849685,0.7294223648210617,0.24780516212682263,5.86644,0.44432418771769827,6.918667384544386,2.00799,,,,,
NC0025,COLUMBUS COUNTY PUBLIC LIBRARY,County,0.23040687315418223,0.17957579751531572,0.027912425862195212,0.008874569817675917,0.15916623953528106,0.05888555319616314,0.6836152400478387,0.3163847599521613,4.56329,0.4755558809889922,8.20668277562178,4.06708,No,Yes,Yes,Yes,Yes
NC0006,CRAVEN-PAMLICO REGIONAL LIBRARY,Regional,0.2100779690843837,0.05944691634908166,0.009778749885502858,0.0062258688598305165,0.14233452040269687,0.060768143980503564,0.5169108809757099,0.4730161461788487,5.25176,0.5240804838579847,7.077075784617691,3.15137,No,Yes,Yes,Yes,Yes
NC0026,CUMBERLAND COUNTY PUBLIC LIBRARY,County,0.11718513115949748,0.06874912929105853,0.038777620253441177,0.0002697490446103458,0.225740341618385,0.050754477834140534,0.5939641773268758,0.40084503156405277,21.44179,0.7513337212256304,7.215694750615301,4.28062,Yes,No,No,No,No
NC0027,DAVIDSON COUNTY PUBLIC LIBRARY SYSTEM,County,0.19729171901360423,0.04954951721167307,0.027461502566495568,0.0029146774830395923,0.16786137334434115,0.03808284575900068,0.5346925589576079,0.4421318065975089,4.62997,0.5569995333644424,7.203521931871209,3.39446,Yes,Yes,Yes,Yes,Yes
NC0028,DAVIE COUNTY PUBLIC LIBRARY,County,0.12325073456697899,0.0486130379413627,0.010280380480794542,0.0007470172667705376,0.13913730177363243,0.025057093462531748,0.38030293328780085,0.6138347597805903,8.20399,0.7367013140389445,5.901392013318251,3.24767,No,No,No,No,No
NC0029,DUPLIN COUNTY LIBRARY,County,0.24702363835049174,0.06389831483292115,0.008770920802898718,-2.875711738655317e-05,0.15333294990510152,0.045407488353367456,0.6629090699948237,0.33709093000517626,30.6649,2.812158509231035,22.0156151147409,0.71325,No,No,No,No,No
NC0030,DURHAM COUNTY LIBRARY,County,0.0354617019918897,0.024301989574168608,0.00617906822688259,0.00039435896160995386,0.06436586244303492,0.011403830846391799,0.15735308490753072,0.8425256636229347,43.17736,0.16227072500391082,1.0843978410596966,34.27589,Yes,No,No,No,No
NC0007,EAST ALBEMARLE REGIONAL LIBRARY,Regional,0.29385078086033517,0.0969915447863498,0.01964918777981202,0.0019353509167530307,0.32601105658810775,0.052466527090432855,0.8810475982832721,0.11390495873939364,4.87611,0.5942483043279584,9.80685323290216,2.82849,No,Yes,Yes,Yes,Yes
NC0031,EDGECOMBE COUNTY MEMORIAL LIBRARY,County,0.31858306712284745,0.07727350055762433,0.011265901744702569,0.004271969453528156,0.11513524752849555,0.02192692285881708,0.5695518212577737,0.43044817874222635,1.83443,0.7084097310171446,13.817118121845642,1.09505,No,Yes,No,No,Yes
NC0075,FARMVILLE PUBLIC LIBRARY,Municipal,0.17146591340275727,0.0649690121843248,0.024916733420464608,0.0013280492432227327,0.2549011341118934,0.0393566339221721,0.6126733842067541,0.38254142248830053,1.03751,0.8042497575783127,9.16827796281462,10.70835,Yes,No,No,No,No
NC0008,FONTANA REGIONAL LIBRARY,Regional,0.24217002973689825,0.07416313941574501,0.02514598472856191,0.0023889607362318687,0.19257868162027902,0.04230067191166903,0.6701890887444918,0.31637794570448,9.01149,0.7199226682610631,9.31801826883315,4.02851,No,Yes,Yes,Yes,Yes
NC0032,FORSYTH COUNTY PUBLIC LIBRARY,County,0.10318970640063592,0.042748831442117476,0.008386669822266012,0.0009190254343022224,0.08279107188335258,0.021773957044403915,0.29526409279520077,0.7032753706328606,20.14286,0.3328171184404479,2.8088960793821887,8.09913,No,No,No,No,No
NC0033,FRANKLIN COUNTY LIBRARY,County,0.21657726160095828,0.055335659601062445,0.02911306702775897,0.007386768050275159,0.2983611964654619,0.07938822630765759,0.7693088901619707,0.18481676301581515,5.05667,0.6381125983021717,11.46246940263528,1.61761,Yes,Yes,Yes,Yes,Yes
NC0105,GASTON COUNTY PUBLIC LIBRARY,County,0.1952610403704992,0.06214669022931978,0.03202109080906276,-1.1557874321986199e-06,0.25486499824898207,0.05270390690825706,0.7047471657202694,0.2908989830226384,8.99304,0.4988921777462376,5.394796182665269,3.7349,Yes,No,No,No,No
NC0099,GEORGE H. AND LAURA E. BROWN PUBLIC LIBRARY,Municipal,0.1748727480350353,0.04217840786228847,0.020263129122781443,0.0007896303315232577,0.07955829294070484,0.03185247275775356,0.4114459953594033,0.5873999295406781,12.17527,0.7932140384124786,7.550126948260991,8.4057,Yes,Yes,Yes,Yes,Yes
NC0111,GIBSONVILLE PUBLIC LIBRARY,Municipal,0.2059015964407223,0.032223239989531534,0.0491363517403821,,0.35138052865741953,0.04897278199424235,0.7804566867312221,0.20622873593300184,0,0.6631228735933001,7.179871434179534,3.35286,Yes,No,No,No,No
NC0112,GIVENS MEMORIAL LIBRARY & TUFTS ARCHIVE,MUNICIPAL,0.3166395252860999,0.027795748098244363,0.006781627144354965,2.2307984027483438e-05,0.1181207754255248,0.016418676244227808,0.5102728266446561,0.4897271733553439,5.05834,0.7802217413612332,8.804872063711603,2.48019,No,No,No,No,No
NC0034,GRANVILLE COUNTY LIBRARY SYSTEM,County,0.23846356419999248,0.07397765321094014,0.033565328618185925,0.0010910048530905533,0.1885557352996501,0.0350325420413077,0.6697490688837892,0.3217034724051014,12.74013,0.9972837741243745,13.7710926601708,2.17343,Yes,Yes,No,No,Yes
NC0035,GREENSBORO PUBLIC LIBRARY,County,0.08951529002481573,0.03974871004724447,0.029627753988457357,0.0008897433805944867,0.22485036247785026,0.05045515528223831,0.48724509327543164,0.5023897466333122,5.16778,0.26937306119262644,5.11161725621757,4.64723,Yes,No,No,No,No
NC0036,HALIFAX COUNTY LIBRARY SYSTEM,County,0.5944544421291912,0.034713013828376584,0.017072362189808676,0.0008050767190755824,0.16227031634779315,0.04778367114983898,0.8947007008903202,0.09507008903201364,13.24302,1.0599782155711308,20.128812748626633,1.27524,No,No,No,No,Yes
