FSCS Key,Library Name,Library Type,Adult Programs,% Adult Programs,Adult Program Attendance,Adult Attendance Per Program,Young Adult Programs,% Young Adult Programs,Young Adult Attendance,YA Attendance Per Program,Childrens Programs 0-5,Childrens Programs 6-11,Total Childrens Programs,% Childrens Programs,Childrens Attendance 0-5,Childrens Attendance 6-11,Childrens Program Attendance,Childrens Attendance Per Program,General Interest Programs,General Interest Attendance,Tech Consultations Offered,Career Consultations Offered,Programs In Library,% Programs In Library,Attendance In Library,Programs Outside Library,% Programs Outside Library,Attendance Outside Library,Live Streamed Programs,% Live Streamed,Live Stream Views,Recorded Programs,Recorded Program Views,Views Per Recorded Program,Total Programs,Programs Per FTE,Total Program Attendance,Total Attendance Per Program,Attendance Per 1000 Capita
NC0103,ALAMANCE COUNTY PUBLIC LIBRARIES,County,169,0.2023952,1781,10.53846,117,0.1401198,1071,9.15385,160,371,531,0.6359281,5137,334,28634,53.92467,18,423,Yes,No,448,0.5365269461077844,8549,324,0.38802395209580837,22716,63,0.07544910179640718,644,6,166,27.66667,835,16.90968,31909,38.21437,187.9067
NC0001,ALBEMARLE REGIONAL LIBRARY,Regional,206,0.4,1421,6.89806,24,0.0466019,672,28,48,229,277,0.5378641,2913,172,5070,18.30325,8,135,Yes,Yes,433,0.8407766990291262,5109,82,0.15922330097087378,2189,0,0,0,8,103,12.875,515,20.22781,7298,14.17087,113.1017
NC0016,ALEXANDER COUNTY LIBRARY,County,13,0.1171171,35,2.69231,3,0.027027,32,10.66667,95,0,95,0.8558559,0,32,2182,22.96842,0,0,Yes,Yes,108,0.972972972972973,1730,3,0.02702702702702703,519,0,0,0,0,0,0,111,10.0271,2249,20.26126,61.91328
NC0002,APPALACHIAN REGIONAL LIBRARY,Regional,318,0.3916256,4784,15.04403,30,0.0369458,2297,76.56667,275,114,389,0.479064,5446,1784,15808,40.63753,75,3672,Yes,Yes,552,0.6798029556650246,17175,98,0.1206896551724138,4451,162,0.19950738916256158,4935,171,6234,36.45614,812,17.06599,26561,32.71059,180.84578
NC0003,AVERY-MITCHELL-YANCEY REGIONAL LIBRARY,Regional,7,0.0252708,100,14.28571,22,0.0794224,130,5.90909,197,4,201,0.7256318,12,130,1286,6.39801,47,518,Yes,Yes,267,0.9638989169675091,1992,1,0.0036101083032490976,14,9,0.032490974729241874,28,14,1000,71.42857,277,17.3125,2034,7.34296,39.60743
NC0004,BEAUFORT-HYDE-MARTIN REGIONAL LIBRARY,Regional,148,0.1780987,1602,10.82432,9,0.0108303,230,25.55556,214,460,674,0.811071,3568,127,10161,15.07567,0,0,Yes,Yes,621,0.7472924187725631,7982,204,0.24548736462093862,3991,6,0.007220216606498195,20,0,0,0,831,47.08215,11993,14.43201,196.50347
NC0017,BLADEN COUNTY PUBLIC LIBRARY,County,27,0.1205357,1117,41.37037,68,0.3035714,627,9.22059,108,21,129,0.5758929,375,285,4059,31.46512,0,0,Yes,Yes,96,0.42857142857142855,2190,128,0.5714285714285714,3613,0,0,0,8,1882,235.25,224,21.83236,5803,25.90625,197.36753
NC0046,BRASWELL MEMORIAL PUBLIC LIBRARY,County,337,0.1691767,3453,10.24629,1,0.000502,23,23,1602,50,1652,0.8293173,630,23,29293,17.73184,2,350,Yes,No,436,0.21887550200803213,6886,1537,0.7715863453815262,25925,19,0.009538152610441768,308,0,0,0,1992,57.99127,33119,16.626,369.0715
NC0018,BRUNSWICK COUNTY LIBRARY,County,1072,0.778504,19438,18.13246,8,0.0058097,42,5.25,263,34,297,0.2156863,277,42,3172,10.68013,0,0,Yes,No,1170,0.8496732026143791,19836,29,0.021060275962236745,546,178,0.12926652142338416,2270,0,0,0,1377,72.47368,22652,16.45025,157.79868
NC0019,BUNCOMBE COUNTY PUBLIC LIBRARIES,County,414,0.3829787,5479,13.2343,51,0.0471785,178,3.4902,319,24,343,0.3172988,520,172,4708,13.72595,273,3612,Yes,Yes,746,0.6901017576318224,7600,8,0.0074005550416281225,1615,327,0.30249768732654947,4762,0,0,0,1081,14.50034,13977,12.92969,51.48939
NC0020,BURKE COUNTY PUBLIC LIBRARY,County,138,0.0949106,2859,20.71739,206,0.1416781,2195,10.65534,514,518,1032,0.7097662,4351,1531,13730,13.30426,78,5248,Yes,Yes,869,0.5976616231086658,14571,111,0.07634112792297111,5149,474,0.32599724896836313,4312,159,6237,39.22642,1454,59.59016,24032,16.5282,273.92826
