FSCS Key,Library Name,Economic Tier,Library Type,Tech Lending Circulation,Staff Internet Terminals,Public Internet Computers,Public Computers Per 5000 Pop,Public Internet Uses Per Year,Internet Uses Per 25000 Pop,Internet Uses Per Hour,Wireless Internet Sessions,Wireless Uses Per 25000 Pop,Wireless Uses Per Hour,Website Visits
NC0103,ALAMANCE COUNTY PUBLIC LIBRARIES,2,County,352,69,85,2.5027530283311643,33051,4865.79355,3.07623,25677,3780.18762,2.38989,262444
NC0001,ALBEMARLE REGIONAL LIBRARY,1,Regional,383,26,90,6.973932988252797,21744,8424.51105,1.50093,39991,15494.1419,2.76047,6967
NC0016,ALEXANDER COUNTY LIBRARY,1,County,0,15,16,2.202339986235375,3232,2224.36339,0.66135,-1,0,0,21519
NC0002,APPALACHIAN REGIONAL LIBRARY,2,Regional,997,69,104,3.540521954640467,18806,3201.10846,2.31944,235211,40037.00526,29.00974,167417
NC0003,AVERY-MITCHELL-YANCEY REGIONAL LIBRARY,2,Regional,87,16,74,7.204891537173346,8568,4171.04802,0.78462,15060,7331.46396,1.37912,5640
NC0004,BEAUFORT-HYDE-MARTIN REGIONAL LIBRARY,2,Regional,0,33,79,6.472014680823174,8301,3400.26543,0.49886,13943,5711.34815,0.83792,106381
NC0017,BLADEN COUNTY PUBLIC LIBRARY,1,County,37,16,15,2.5508468811645466,4200,3571.18563,0.6993,-1,0,0,9643
NC0046,BRASWELL MEMORIAL PUBLIC LIBRARY,1,County,290,43,86,4.791833823660515,25327,7055.97531,3.37064,-1,0,0,76307
NC0018,BRUNSWICK COUNTY LIBRARY,2,County,0,22,70,2.4381748519679554,20553,3579.41484,1.73385,10735,1869.55765,0.9056,91017
NC0019,BUNCOMBE COUNTY PUBLIC LIBRARIES,2,County,1217,124,230,4.236445217237543,35586,3277.35086,1.32625,1102809,101564.99812,41.10051,256927
NC0020,BURKE COUNTY PUBLIC LIBRARY,1,County,0,35,37,2.10871869692583,7380,2103.01946,0.83978,-1,0,0,290001
NC0021,CABARRUS COUNTY PUBLIC LIBRARY,3,County,6039,66,64,1.3839034727327768,23836,2577.08775,1.8176,-1,0,0,-1
NC0022,CALDWELL COUNTY PUBLIC LIBRARY,1,County,0,33,43,2.661286329652919,13775,4262.69991,1.87875,12587,3895.07105,1.71672,31298
-3,CARTERET COUNTY PUBLIC LIBRARY SYSTEM,3,County,276,25,26,1.9038134848573605,14977,5483.34895,1.14058,5360,1962.39236,0.40819,58608
NC0107,CASWELL COUNTY PUBLIC LIBRARY,1,County,483,9,21,4.687081510579413,33177,37024.59602,10.55248,-1,-1.11597,-0.00032,-1
NC0023,CATAWBA COUNTY LIBRARY,2,County,1534,89,146,6.198206765385138,30559,6486.6781,1.89068,-1,0,0,59431
NC0071,CHAPEL HILL PUBLIC LIBRARY,3,Municipal,304,40,58,4.693392027707198,12902,5220.18482,5.03591,-1,0,0,805011
NC0045,CHARLOTTE MECKLENBURG LIBRARY,3,County,7968,815,725,3.232330077522421,146921,3275.15288,2.31517,-1,0,0,18466242
NC0104,CHATHAM COUNTY PUBLIC LIBRARIES,3,County,6,38,59,3.8103849134590546,6772,2186.77344,1.02606,-1,0,0,-1
NC0024,CLEVELAND COUNTY MEMORIAL LIBRARY,1,County,0,23,35,1.9305658212627004,12091,3334.63876,3.68628,10739,2961.76376,3.27409,61232
NC0025,COLUMBUS COUNTY PUBLIC LIBRARY,1,County,211,47,92,9.13260140165578,2617,1298.91401,0.18116,6719,3334.88852,0.46511,-2
NC0006,CRAVEN-PAMLICO REGIONAL LIBRARY,2,Regional,2011,59,162,7.085250432987526,18196,3979.11163,1.55124,16818,3677.76981,1.43376,239691
NC0026,CUMBERLAND COUNTY PUBLIC LIBRARY & INFORMATION CENTER,1,County,193,179,360,5.261896270484855,67354,4922.3578,2.82478,32422,2369.46112,1.35976,102661
NC0027,DAVIDSON COUNTY PUBLIC LIBRARY SYSTEM,2,County,866,72,106,3.228872209767034,28499,4340.54854,1.72075,-1,0,0,47973
NC0028,DAVIE COUNTY PUBLIC LIBRARY,2,County,6250,17,74,8.54898336414048,4395,2538.70148,0.53834,4685,2706.21534,0.57386,200
NC0029,DUPLIN COUNTY LIBRARY,1,County,0,14,42,4.307338885014563,810,415.35054,0.11454,-1,0,0,-1
NC0030,DURHAM COUNTY LIBRARY,3,County,1160,163,292,4.491312693803219,56660,4357.49619,3.20965,-1,0,0,823242
NC0007,EAST ALBEMARLE REGIONAL LIBRARY,2,Regional,86,60,76,3.2101372756071807,14761,3117.42344,0.80745,18554,3918.47941,1.01493,173671
NC0031,EDGECOMBE COUNTY MEMORIAL LIBRARY,1,County,61,14,35,3.622363436898429,10499,5433.02767,1.88222,37660,19488.31529,6.75152,44971
NC0075,FARMVILLE PUBLIC LIBRARY,1,Municipal,79,8,20,22.57336343115124,4976,28081.26411,1.70062,8637,48741.53499,2.95181,9498
NC0008,FONTANA REGIONAL LIBRARY,2,Regional,314,104,98,5.19926998005178,14173,3759.65579,1.10184,196865,52222.15738,15.30475,130496
NC0032,FORSYTH COUNTY PUBLIC LIBRARY,2,County,3000,135,208,2.7085519924785593,50000,3255.47114,1.49916,-1,0,0,690261
NC0033,FRANKLIN COUNTY LIBRARY,2,County,181,19,35,2.457174950856501,4619,1621.38444,0.55304,8285,2908.24207,0.99198,-1
NC0105,GASTON COUNTY PUBLIC LIBRARY,2,County,4499,78,117,2.5252961287426183,39762,4291.06088,1.91643,37573,4054.82698,1.81092,255979
NC0099,GEORGE H. AND LAURA E. BROWN PUBLIC LIBRARY,1,Municipal,28,14,27,13.785356887572757,908,2317.98223,0.3378,16258,41504.13561,6.04836,22571
NC0111,GIBSONVILLE PUBLIC LIBRARY,2,Municipal,34,3,16,8.774816277284195,4294,11774.70659,1.60704,1988,5451.35461,0.74401,11330
,GIVENS MEMORIAL LIBRARY & TUFTS ARCHIVE,3,MUNICIPAL,0,8,2,0.5532809560694921,210,290.4725,0.09972,-1,0,0,817
NC0034,GRANVILLE COUNTY LIBRARY SYSTEM,2,County,451,25,47,3.8430089942763694,11636,4757.15454,0.44399,38547,15759.19869,1.47081,34724
NC0035,GREENSBORO PUBLIC LIBRARY,2,County,492,38,260,3.023227690905201,87727,5100.35953,3.51372,-1,0,0,2061070
NC0062,H. LESLIE PERRY MEMORIAL LIBRARY,1,County,356,16,47,5.559498462266382,8208,6196.21343,0.88258,6609,4989.12945,0.71065,3511
NC0036,HALIFAX COUNTY LIBRARY SYSTEM,1,County,367,42,103,15.550925506537428,12923,2361.31414,1.07926,76890,14049.48107,6.42141,52399
NC0037,HARNETT COUNTY PUBLIC LIBRARY,2,County,250,8,8,0.29235491887151,3144,13719.67184,1.23585,4177,18227.43934,1.6419,-1
