FSCS Key,Library Name,Library Type,0-5 Registrants,0-5 Events/Programs,0-5 Attendees,0-5 Minutes Read,6-11 Registrants,6-11 Events/Programs,6-11 Attendees,6-11 Minutes Read,12-18 Registrants,12-18 Events/Programs,12-18 Attendees,12-18 Minutes Read,Total Registrants,Total Programs,Total Minutes Read,Juvenile Circulations,YA Circulations,Tracking Method,Self-Directed Materials
NC0103,ALAMANCE COUNTY PUBLIC LIBRARIES,County,107,20,301,42531,973,44,1124,254417,109,16,135,134539,1189,80,1560,30618,2614,Online tool,"Yes, physical activity packets"
NC0001,ALBEMARLE REGIONAL LIBRARY,Regional,90,68,776,20845,226,90,1524,94582,36,50,169,15025,352,208,2469,3797,326,Manual tracking,"Yes, physical activity packets"
NC0016,ALEXANDER COUNTY LIBRARY,County,103,11,510,6377,140,2,71,3410,36,0,0,1156,279,13,581,7314,1150,Online tool,"Yes, physical activity packets"
NC0002,APPALACHIAN REGIONAL LIBRARY,Regional,,,,,1290,234,6082,573986,196,49,86,155507,1486,283,6168,60943,5300,Other - please add a note with explanation,"Yes, physical and digital packets were distributed"
NC0003,AVERY-MITCHELL-YANCEY REGIONAL LIBRARY,Regional,0,0,0,0,0,30,594,0,0,20,269,0,0,50,863,10956,886,Manual tracking,"Yes, physical activity packets"
NC0004,BEAUFORT-HYDE-MARTIN REGIONAL LIBRARY,Regional,,,,,,,,,,,,,,,,7573,514,Manual tracking,"Yes, physical activity packets"
NC0017,BLADEN COUNTY PUBLIC LIBRARY,County,612,24,662,,265,24,215,,0,0,0,,877,48,877,3147,305,Manual tracking,"Yes, physical activity packets"
NC0046,BRASWELL MEMORIAL PUBLIC LIBRARY,County,117,6,335,,151,6,241,,13,2,34,,281,14,610,16805,1409,Manual tracking,"Yes, physical activity packets"
NC0018,BRUNSWICK COUNTY LIBRARY,County,166,19,257,52012,343,26,272,87437,31,18,198,2430,540,63,727,,,Manual tracking,"Yes, physical activity packets"
NC0019,BUNCOMBE COUNTY PUBLIC LIBRARIES,County,0,0,0,0,0,276,9965,0,0,26,379,0,0,302,10344,149016,13842,Other - please add a note with explanation,No
NC0020,BURKE COUNTY PUBLIC LIBRARY,County,107,82,1977,26169,241,70,1589,123271,163,41,1069,0,511,193,4635,23009,2843,Online tool,"Yes, physical activity packets"
NC0021,CABARRUS COUNTY PUBLIC LIBRARY,County,590,171,3968,155932,1277,81,2044,431354,251,50,432,171846,2118,302,6444,46942,5126,Online tool,"Yes, physical activity packets"
NC0022,CALDWELL COUNTY PUBLIC LIBRARY,County,375,22,756,157738,527,37,2764,426477,256,19,877,2750,1158,78,4397,27789,4543,Manual tracking,"Yes, physical activity packets"
NC0113,Carteret County Public Library System,County,168,11,,15840,326,20,,77120,115,9,,80320,609,40,,22267,2533,Manual tracking,No
NC0107,CASWELL COUNTY PUBLIC LIBRARY,County,41,5,79,8705,77,26,758,27016,15,15,25,12000,133,46,862,2946,295,Manual tracking,No
NC0023,CATAWBA COUNTY LIBRARY,County,347,131,1927,59066,766,84,2147,127541,329,32,207,55545,1442,247,4281,39686,3799,Online tool,No
NC0071,CHAPEL HILL PUBLIC LIBRARY,Municipal,454,59,1439,,1242,15,1032,,331,0,0,,2027,74,2471,184728,15064,Other - please add a note with explanation,No
NC0045,CHARLOTTE MECKLENBURG LIBRARY,County,1096,856,28870,423404,6823,939,31066,4488058,1309,342,7949,1157947,9228,2137,67885,583849,70518,Other - please add a note with explanation,No
NC0104,CHATHAM COUNTY PUBLIC LIBRARIES,County,65,41,644,47400,144,36,514,161505,23,10,77,7200,232,87,1235,21720,1650,Manual tracking,"Yes, physical activity packets"
NC0024,CLEVELAND COUNTY MEMORIAL LIBRARY,County,49,7,623,21267,57,35,954,,36,25,340,,142,67,1917,14445,1401,Manual tracking,"Yes, physical and digital packets were distributed"
NC0025,COLUMBUS COUNTY PUBLIC LIBRARY,County,68,24,67,125,41,14,51,80,6,11,3,0,115,49,121,811,1219,Manual tracking,"Yes, physical activity packets"
NC0006,CRAVEN-PAMLICO REGIONAL LIBRARY,Regional,672,176,8285,658230,595,109,4478,256069,78,66,257,31581,1345,351,13020,15040,1311,Manual tracking,"Yes, physical and digital packets were distributed"
NC0026,CUMBERLAND COUNTY PUBLIC LIBRARY,County,743,172,4386,522339,1084,110,2922,938383,270,17,159,306492,2097,299,7467,131394,19945,Online tool,"Yes, physical activity packets"
NC0027,DAVIDSON COUNTY PUBLIC LIBRARY SYSTEM,County,350,109,1740,111435,565,142,2308,214615,148,30,287,67725,1063,281,4335,39825,5388,Manual tracking,"Yes, physical activity packets"
NC0028,DAVIE COUNTY PUBLIC LIBRARY,County,298,26,737,120690,64,27,382,25920,15,29,290,3750,377,82,1409,8632,659,Manual tracking,"Yes, physical and digital packets were distributed"
NC0029,DUPLIN COUNTY LIBRARY,County,,,,,,,,,,,,,,,,1841,85,Manual tracking,No
NC0030,DURHAM COUNTY LIBRARY,County,,185,3550,,,296,5470,,,65,433,,0,546,9453,181638,24918,Other - please add a note with explanation,No
NC0007,EAST ALBEMARLE REGIONAL LIBRARY,Regional,157,50,928,46980,486,64,1825,109698,127,13,428,18920,770,127,3181,41236,2112,Manual tracking,"Yes, physical activity packets"
NC0031,EDGECOMBE COUNTY MEMORIAL LIBRARY,County,420,23,963,3150,29,12,112,185,0,0,0,0,449,35,1075,2936,341,Manual tracking,"Yes, physical activity packets"
NC0075,FARMVILLE PUBLIC LIBRARY,Municipal,44,49,1085,7800,46,27,931,8280,10,4,47,2520,100,80,2063,7422,415,Manual tracking,"Yes, physical activity packets"
NC0008,FONTANA REGIONAL LIBRARY,Regional,344,128,2184,259400,800,222,5337,658454,136,38,415,104250,1280,388,7936,31482,3829,Online tool,"Yes, physical activity packets"
NC0032,FORSYTH COUNTY PUBLIC LIBRARY,County,2275,183,2805,52800,1625,148,6706,33000,865,74,1936,8610,4765,405,11447,44809,4795,Manual tracking,"Yes, physical and digital packets were distributed"
NC0033,FRANKLIN COUNTY LIBRARY,County,,12,210,,,6,48,,,6,20,,0,24,278,15637,1668,Manual tracking,"Yes, physical activity packets"
NC0105,GASTON COUNTY PUBLIC LIBRARY,County,540,482,15264,267600,6102,467,17987,1999080,1326,198,2469,328800,7968,1147,35720,96983,11948,Manual tracking,"Yes, physical and digital packets were distributed"
NC0099,GEORGE H. AND LAURA E. BROWN PUBLIC LIBRARY,Municipal,21,31,222,,84,31,839,,48,8,291,,153,70,1352,5486,997,Manual tracking,"Yes, physical activity packets"
NC0111,GIBSONVILLE PUBLIC LIBRARY,Municipal,37,15,121,2010,78,15,142,1082,13,7,40,0,128,37,303,3595,433,Online tool,"Yes, physical and digital packets were distributed"
NC0112,GIVENS MEMORIAL LIBRARY & TUFTS ARCHIVE,MUNICIPAL,32,1,3,18,32,1,15,93,,,,,64,2,18,,,Manual tracking,"Yes, physical activity packets"
NC0034,GRANVILLE COUNTY LIBRARY SYSTEM,County,76,22,788,41320,173,49,1044,41320,75,14,1022,41320,324,85,2854,12147,1235,Manual tracking,"Yes, physical activity packets"
NC0035,GREENSBORO PUBLIC LIBRARY,County,700,117,3211,,2300,85,6524,,200,63,1228,,3200,265,10963,110417,13650,Manual tracking,"Yes, physical activity packets"
NC0036,HALIFAX COUNTY LIBRARY SYSTEM,County,28,18,40,1620,50,19,67,14917,23,13,30,12123,101,50,137,1985,77,Manual tracking,"Yes, physical activity packets"
NC0037,HARNETT COUNTY PUBLIC LIBRARY,County,238,28,1050,0,746,99,3845,200490,91,18,438,0,1075,145,5333,43213,3134,Manual tracking,"Yes, physical activity packets"
NC0102,HAROLD D. COOLEY LIBRARY,Municipal,17,11,59,855,42,9,16,4224,8,3,5,3600,67,23,80,3583,341,Manual tracking,"Yes, physical and digital packets were distributed"
NC0038,HAYWOOD COUNTY PUBLIC LIBRARY,County,190,29,812,,398,27,1994,,93,6,246,,681,62,3052,23419,1890,Manual tracking,"Yes, physical activity packets"
NC0039,HENDERSON COUNTY PUBLIC LIBRARY,County,556,81,2279,93900,1275,64,2222,474000,482,14,55,266400,2313,159,4556,84410,7603,Manual tracking,"Yes, physical activity packets"
NC0079,HICKORY PUBLIC LIBRARY,Municipal,88,68,2218,,240,46,1029,,162,15,58,,490,129,3305,23819,2451,Online tool,"Yes, physical activity packets"
NC0080,HIGH POINT PUBLIC LIBRARY,Municipal,0,0,0,0,908,192,8447,165945,41,28,507,57960,949,220,8954,40287,4766,Online tool,"Yes, physical activity packets"
NC0110,HOCUTT ELLINGTON MEMORIAL LIBRARY,Municipal,83,8,189,7645,344,20,626,76070,29,4,32,-1,456,32,847,12192,923,Online tool,No
