FSCS Key,Library Name,Library Type,FTE ALA/MLS,FTE MLS Not ALA,Total FTE MLS,Other Paid Staff,Total FTE Staff,FTE Per 25000 Population,% of Staff with ALA/MLS,Volunteer Hours
NC0103,ALAMANCE COUNTY PUBLIC LIBRARIES,County,11,0,11,38.38,49.38,7.269761443470171,0.2227623,1178
NC0001,ALBEMARLE REGIONAL LIBRARY,Regional,2,1,3,22.46,25.46,9.864240771162013,0.0785546,125
NC0016,ALEXANDER COUNTY LIBRARY,County,1,0,1,10.07,11.07,7.618719889883001,0.0903342,0
NC0002,APPALACHIAN REGIONAL LIBRARY,Regional,12,2,14,33.58,47.58,8.098943971240068,0.2522068,3744
NC0003,AVERY-MITCHELL-YANCEY REGIONAL LIBRARY,Regional,2,1,3,13,16,7.789071932079293,0.125,5
NC0004,BEAUFORT-HYDE-MARTIN REGIONAL LIBRARY,Regional,1,1,2,15.65,17.65,7.229813868134749,0.0566572,548
NC0017,BLADEN COUNTY PUBLIC LIBRARY,County,1,0,1,9.26,10.26,8.723896333582749,0.0974659,138
NC0046,BRASWELL MEMORIAL PUBLIC LIBRARY,County,6.9,0,6.9,27.45,34.35,9.569737897833646,0.2008734,147
NC0018,BRUNSWICK COUNTY LIBRARY,County,1,0,1,18,19,3.308951584813654,0.0526316,10329
NC0019,BUNCOMBE COUNTY PUBLIC LIBRARIES,County,5,0,5,69.55,74.55,6.86580415097954,0.0670691,0
NC0020,BURKE COUNTY PUBLIC LIBRARY,County,4,3,7,17.4,24.4,6.953072460133818,0.1639344,1120
NC0021,CABARRUS COUNTY PUBLIC LIBRARY,County,11,0,11,45.35,56.35,6.092418803788436,0.1952085,2229
NC0022,CALDWELL COUNTY PUBLIC LIBRARY,County,2,3,5,20,25,7.736297469921275,0.08,0
NC0113,Carteret County Public Library System,County,3,2,5,20.8,25.8,9.445843828715365,0.1162791,0
NC0107,CASWELL COUNTY PUBLIC LIBRARY,County,1,0,1,6.55,7.55,8.425587001160611,0.1324503,225
NC0023,CATAWBA COUNTY LIBRARY,County,14,0,14,21.6,35.6,7.556717837250375,0.3932584,2482
NC0071,CHAPEL HILL PUBLIC LIBRARY,Municipal,7,0,7,30.3,37.3,15.091682985644692,0.1876676,1123
NC0045,CHARLOTTE MECKLENBURG LIBRARY,County,70,0,70,352,422,9.407195122168702,0.1658768,9355
NC0104,CHATHAM COUNTY PUBLIC LIBRARIES,County,5,0,5,12.5,17.5,5.650994575045208,0.2857143,270
NC0024,CLEVELAND COUNTY MEMORIAL LIBRARY,County,4,1,5,14.25,19.25,5.309056008472426,0.2077922,1034
NC0025,COLUMBUS COUNTY PUBLIC LIBRARY,County,1.9,0,1.9,22,23.9,11.86245508149854,0.0794979,51
NC0006,CRAVEN-PAMLICO REGIONAL LIBRARY,Regional,3.9,4,7.9,21.13,29.03,6.348296915729256,0.1343438,1960
NC0026,CUMBERLAND COUNTY PUBLIC LIBRARY,County,45,0,45,103.53,148.53,10.854853514654382,0.3029691,226
NC0027,DAVIDSON COUNTY PUBLIC LIBRARY SYSTEM,County,9,0,9,51.16,60.16,9.162686421678526,0.1496011,1762
NC0028,DAVIE COUNTY PUBLIC LIBRARY,County,2.81,2.81,5.62,7.87,13.49,7.79228280961183,0.2083024,600
NC0029,DUPLIN COUNTY LIBRARY,County,1,1,2,7,9,4.615005948229889,0.1111111,30
NC0030,DURHAM COUNTY LIBRARY,County,59.16,0.94,60.1,97.25,157.35,12.101165280307132,0.3759771,283
NC0007,EAST ALBEMARLE REGIONAL LIBRARY,Regional,4.69,0.94,5.63,39.24,44.87,9.476240760295669,0.1045242,611
NC0031,EDGECOMBE COUNTY MEMORIAL LIBRARY,County,2,0,2,5,7,3.622363436898429,0.2857143,0
NC0075,FARMVILLE PUBLIC LIBRARY,Municipal,3,0,3,1.88,4.88,27.539503386004515,0.6147541,100
NC0008,FONTANA REGIONAL LIBRARY,Regional,7,0,7,48.5,55.5,14.722422647595602,0.1261261,2775
NC0032,FORSYTH COUNTY PUBLIC LIBRARY,County,46.5,0,46.5,60.15,106.65,6.9439199518711145,0.4360056,6000
NC0033,FRANKLIN COUNTY LIBRARY,County,3,0,3,12,15,5.265374894692502,0.2,0
NC0105,GASTON COUNTY PUBLIC LIBRARY,County,16,0,16,42.5,58.5,6.313240321856546,0.2735043,3000
NC0099,GEORGE H. AND LAURA E. BROWN PUBLIC LIBRARY,Municipal,1,0,1,7.06,8.06,20.575921576636375,0.1240695,91
NC0111,GIBSONVILLE PUBLIC LIBRARY,Municipal,1,0,1,1.75,2.75,7.540857738291105,0.3636364,21
NC0112,GIVENS MEMORIAL LIBRARY & TUFTS ARCHIVE,MUNICIPAL,1,0,1,5,6,8.299214341042381,0.1666667,177
NC0034,GRANVILLE COUNTY LIBRARY SYSTEM,County,5.65,0,5.65,9.6,15.25,6.234668847097301,0.3704918,73
NC0035,GREENSBORO PUBLIC LIBRARY,County,34,6,40,60.5,100.5,5.842968902614859,0.3383085,3016
NC0036,HALIFAX COUNTY LIBRARY SYSTEM,County,1,0,1,10,11,8.303892260772413,0.0909091,680
NC0037,HARNETT COUNTY PUBLIC LIBRARY,County,5,2,7,26,33,6.029820201724894,0.1515152,326
NC0102,HAROLD D. COOLEY LIBRARY,Municipal,1,0,1,4.5,5.5,24.000698202129517,0.1818182,25
NC0038,HAYWOOD COUNTY PUBLIC LIBRARY,County,5,1,6,11,17,6.800544043523482,0.2941176,2138
NC0039,HENDERSON COUNTY PUBLIC LIBRARY,County,9.38,0,9.38,30.56,39.94,8.555393710907376,0.2348523,5529
NC0079,HICKORY PUBLIC LIBRARY,Municipal,9,0,9,19,28,15.882739999546207,0.3214286,40
NC0080,HIGH POINT PUBLIC LIBRARY,Municipal,18.75,0,18.75,43.5,62.25,13.580553955704488,0.3012048,1193
NC0110,HOCUTT ELLINGTON MEMORIAL LIBRARY,Municipal,2,0,2,7.3,9.3,8.248190719455087,0.2150538,89
NC0040,IREDELL COUNTY LIBRARY,County,5,2,7,24.85,31.85,5.719899143002867,0.1569859,740
NC0100,JACOB MAUNEY MEMORIAL LIBRARY,Municipal,1,0,1,7.25,8.25,18.060420315236428,0.1212121,0
NC0042,LEE COUNTY LIBRARY,County,4,0,4,6,10,3.90210401448461,0.4,436
NC0106,LINCOLN COUNTY PUBLIC LIBRARY,County,4,3,7,20.5,27.5,7.676760909375139,0.1454545,0
