FSCS Key,Library Name,Library Type,Staff Expenditures Per Capita,Expenditures on Salaries & Wages Per FTE,Director Salary,Director Salary Range,Director Year of Appointment,Assistant Director,Mgmt Branch Manager,Mgmt Youth Services,Mgmt Adult Services,Mgmt Technical Services,Mgmt Circulation,Mgmt Library Assistant,Non-Mgmt Youth Services,Non-Mgmt Adult Services,Non-Mgmt Technical Services,Non-Mgmt Circulation,Non-Mgmt Library Assistant,IT Personnel
NC0103,ALAMANCE COUNTY PUBLIC LIBRARIES,County,14.26599,49059.35601,80641,70954-105525,2019,56379,49263,42879,44300,56181,,37908,,,43983,,28356,
NC0001,ALBEMARLE REGIONAL LIBRARY,Regional,13.6613,34623.29144,64575,"64,575-64,575",2020,,33545,,,,,,,,,,20812,38475
NC0016,ALEXANDER COUNTY LIBRARY,County,12.15328,39879.6748,55645,"51,672-73,011",2011,0,32323,,,,,30766,33131,,22993,,11343,
NC0002,APPALACHIAN REGIONAL LIBRARY,Regional,14.03972,43338.10425,74657,"$63,984-$102,375",2013,,53213,42132,41793,36564,37056,29140,37467,36713,,,22422,51389
NC0003,AVERY-MITCHELL-YANCEY REGIONAL LIBRARY,Regional,11.66012,37424.625,54100,,2015,0,29000,32000,0,0,0,0,0,0,0,0,24500,0
NC0004,BEAUFORT-HYDE-MARTIN REGIONAL LIBRARY,Regional,10.21695,35329.23513,54000,,2022,,36440,,,,,35930,,,,,24913,33624
NC0017,BLADEN COUNTY PUBLIC LIBRARY,County,19.20056,55022.90448,56761,"58,000-78,000",2021,55836,33923,,,,,51811,39331,,,,33923,44762
NC0046,BRASWELL MEMORIAL PUBLIC LIBRARY,County,16.93362,44237.40902,86994,,2014,,,59174,47194,50119,47194,,50564,45524,31252,,31481,48000
NC0018,BRUNSWICK COUNTY LIBRARY,County,8.41487,63576.52632,88810,"$79,860-$135,761",2022,0,54371,0,0,0,0,0,0,0,0,0,35860,0
NC0019,BUNCOMBE COUNTY PUBLIC LIBRARIES,County,18.76802,68338.75252,132460,"$104,056-$161,287",2018,,59220,54025,79992.1,64382.32,,,56617.6,56617.6,,,35270,
NC0020,BURKE COUNTY PUBLIC LIBRARY,County,14.91594,53630.7377,100920,71072-110168,2007,59725,,,,,,,45942,50466,,,30170,
NC0021,CABARRUS COUNTY PUBLIC LIBRARY,County,16.42813,67412.17338,100000,"$81,910.40 - $127,649.60",2022,,,,,,,,,,,,,
NC0022,CALDWELL COUNTY PUBLIC LIBRARY,County,14.9303,48247.56,75303,,2020,,50806,50806,50806,50806,47900,47900,50806,50806,50806,47900,37906,
NC0113,Carteret County Public Library System,County,14.58251,38595.03876,70000,68691-106471,2022,,41063,,,37264,,,,,,,,
