FSCS Key,Library Name,Library Type,Local Funds Municipal ($),Local Funds County ($),Local Funds Total ($),State Aid ($),State Other ($),State Funds Total ($),Federal LSTA ($),Federal Other ($),Federal Funds Total ($),Other Funds ($),Operating Income ($)
NC0103,ALAMANCE COUNTY PUBLIC LIBRARIES,County,241000,2936790,3177790,188229,0,188229,188229,0,188229,76702,3445225.65
NC0001,ALBEMARLE REGIONAL LIBRARY,Regional,256657,495958,752615,378624,0,378624,378624,0,378624,71640,1202879
NC0016,ALEXANDER COUNTY LIBRARY,County,0,482513,482513,91201,0,91201,91201,0,91201,8199,581913
NC0002,APPALACHIAN REGIONAL LIBRARY,Regional,6483,1911985,1918468,369449,0,369449,369449,0,369449,311235,2682981.92
NC0003,AVERY-MITCHELL-YANCEY REGIONAL LIBRARY,Regional,106873,430195,537068,298356,0,298356,298356,0,298356,164059,1065953.69
NC0004,BEAUFORT-HYDE-MARTIN REGIONAL LIBRARY,Regional,146250,381256,527506,279494,0,279494,279494,0,279494,37253,879871.58
NC0017,BLADEN COUNTY PUBLIC LIBRARY,County,15000,544719,559719,86207,0,86207,86207,0,86207,6669,653540.7
NC0046,BRASWELL MEMORIAL PUBLIC LIBRARY,County,668830,1102417,1771247,129772,0,129772,129772,0,129772,315133,2216152
NC0018,BRUNSWICK COUNTY LIBRARY,County,0,1313154,1313154,147378,0,147378,147378,0,147378,0,1460532
NC0019,BUNCOMBE COUNTY PUBLIC LIBRARIES,County,0,6394330,6394330,232792,0,232792,232792,0,232792,48375,6757031.1
NC0020,BURKE COUNTY PUBLIC LIBRARY,County,279000,1181938,1460938,135927,0,135927,135927,0,135927,20638,1663140.21
NC0021,CABARRUS COUNTY PUBLIC LIBRARY,County,0,4077219.7,4077219.7,206661,0,206661,206661,0,206661,96000,4417918.7
NC0022,CALDWELL COUNTY PUBLIC LIBRARY,County,0,1493139,1493139,132018,0,132018,132018,0,132018,0,1625157
NC0113,Carteret County Public Library System,County,1500,1237227,1238727,104219,0,104219,104219,0,104219,0,1342946
NC0107,CASWELL COUNTY PUBLIC LIBRARY,County,0,313614,313614,82792,0,82792,82792,0,82792,7200,444348.26
NC0023,CATAWBA COUNTY LIBRARY,County,66767,2878388,2945155,148049,0,148049,148049,0,148049,43570,3238495.26
NC0071,CHAPEL HILL PUBLIC LIBRARY,Municipal,2611958,568139,3180097,29681,0,29681,29681,0,29681,96430,3392541.03
NC0045,CHARLOTTE MECKLENBURG LIBRARY,County,2500,44263435,44265935,648613,0,648613,648613,0,648613,18250580,63466566
NC0104,CHATHAM COUNTY PUBLIC LIBRARIES,County,0,2142522,2142522,101496,0,101496,101496,0,101496,214112,2458130
NC0024,CLEVELAND COUNTY MEMORIAL LIBRARY,County,0,1047109,1047109,144195,0,144195,144195,0,144195,67230,1259322
NC0025,COLUMBUS COUNTY PUBLIC LIBRARY,County,0,1572524,1572524,108656,0,108656,108656,0,108656,0,1681180
NC0006,CRAVEN-PAMLICO REGIONAL LIBRARY,Regional,90626,1830446,1921072,268278,30000,298278,268278,30000,298278,214797,2549665.17
NC0026,CUMBERLAND COUNTY PUBLIC LIBRARY,County,0,10062239,10062239,336218,62816,399034,336218,62816,399034,100745,10566115
NC0027,DAVIDSON COUNTY PUBLIC LIBRARY SYSTEM,County,0,3765338,3765338,190548,0,190548,190548,0,190548,50492,4013658.35
NC0028,DAVIE COUNTY PUBLIC LIBRARY,County,40535,592886,633421,91421,0,91421,91421,0,91421,47670,829493.76
NC0029,DUPLIN COUNTY LIBRARY,County,33150,484809,517959,107630,102000,209630,107630,102000,209630,0,765571
NC0030,DURHAM COUNTY LIBRARY,County,0,11582212,11582212,248770,0,248770,248770,0,248770,247323,12082504.97
NC0007,EAST ALBEMARLE REGIONAL LIBRARY,Regional,0,2852930,2852930,396658,0,396658,396658,0,396658,31068,3283560.02
NC0031,EDGECOMBE COUNTY MEMORIAL LIBRARY,County,162378,376600,538978,111505,0,111505,111505,0,111505,80484,730967
NC0075,FARMVILLE PUBLIC LIBRARY,Municipal,408680,10000,418680,3367,0,3367,3367,0,3367,0,434924.77
NC0008,FONTANA REGIONAL LIBRARY,Regional,15000,2468956,2483956,326540,29639,356179,326540,29639,356179,365087,3537706.77
NC0032,FORSYTH COUNTY PUBLIC LIBRARY,County,0,8416370,8416370,316483,0,316483,316483,0,316483,0,8735149.97
NC0033,FRANKLIN COUNTY LIBRARY,County,3000,1123881,1126881,114799,0,114799,114799,0,114799,0,1320545.25
NC0105,GASTON COUNTY PUBLIC LIBRARY,County,0,4435168,4435168,232469,0,232469,232469,0,232469,0,4667637
NC0099,GEORGE H. AND LAURA E. BROWN PUBLIC LIBRARY,Municipal,597317,0,597317,8114,0,8114,8114,0,8114,14863,621503.8
NC0111,GIBSONVILLE PUBLIC LIBRARY,Municipal,146458,55500,201958,6527,0,6527,6527,0,6527,3000,219474.31
