FSCS Key,Library Name,Library Type,NC Commerce Tier (2020),Local Income Per Capita ($),State Aid Per Capita ($),Total Income Per Capita ($),% Local,% State Aid,% Federal,% Other
NC0103,ALAMANCE COUNTY PUBLIC LIBRARIES,County,2,18.71347,1.10845,20.28835,0.922375,0.0546347,0.000727,0.0222633
NC0001,ALBEMARLE REGIONAL LIBRARY,Regional,1,11.66375,5.86777,18.64177,0.6256781,0.3147648,0,0.0595571
NC0016,ALEXANDER COUNTY LIBRARY,County,2,13.28322,2.5107,16.01963,0.8291841,0.1567262,0,0.0140897
NC0002,APPALACHIAN REGIONAL LIBRARY,Regional,2,13.06227,2.51547,18.26761,0.7150507,0.1377009,0.0312451,0.1160034
NC0003,AVERY-MITCHELL-YANCEY REGIONAL LIBRARY,Regional,2,10.45815,5.80979,20.75697,0.503838,0.2798958,0.062358,0.1539082
NC0004,BEAUFORT-HYDE-MARTIN REGIONAL LIBRARY,Regional,1,8.64311,4.57947,14.41656,0.5995261,0.3176532,0.0404816,0.0423391
NC0017,BLADEN COUNTY PUBLIC LIBRARY,County,1,19.03677,2.93201,22.22776,0.8564409,0.1319076,0.001447,0.0102044
NC0046,BRASWELL MEMORIAL PUBLIC LIBRARY,County,1,19.73842,1.44615,24.69635,0.7992444,0.0585574,0,0.1421983
NC0018,BRUNSWICK COUNTY LIBRARY,County,3,9.14771,1.02667,10.17438,0.8990929,0.1009071,0,0
NC0019,BUNCOMBE COUNTY PUBLIC LIBRARIES,County,3,23.55585,0.85757,24.89199,0.9463224,0.0344518,0.0120666,0.0071592
NC0020,BURKE COUNTY PUBLIC LIBRARY,County,1,16.65247,1.54936,18.95727,0.8784214,0.0817291,0.0274404,0.0124091
NC0021,CABARRUS COUNTY PUBLIC LIBRARY,County,3,17.63275,0.89375,19.10617,0.9228825,0.0467779,0.0086099,0.0217297
NC0022,CALDWELL COUNTY PUBLIC LIBRARY,County,1,18.48219,1.63413,20.11632,0.918766,0.081234,0,0
NC0113,Carteret County Public Library System,County,3,18.14081,1.52626,19.66707,0.9223952,0.0776048,0,0
NC0107,CASWELL COUNTY PUBLIC LIBRARY,County,1,13.99938,3.69574,19.8352,0.7057842,0.1863223,0.0916899,0.0162035
NC0023,CATAWBA COUNTY LIBRARY,County,2,25.00641,1.25704,27.49707,0.9094208,0.0457154,0.03141,0.0134538
NC0071,CHAPEL HILL PUBLIC LIBRARY,Municipal,3,51.46704,0.48036,54.90526,0.9373791,0.0087489,0.0254479,0.0284241
NC0045,CHARLOTTE MECKLENBURG LIBRARY,County,3,39.47093,0.57835,56.59169,0.6974686,0.0102198,0.0047496,0.2875621
NC0104,CHATHAM COUNTY PUBLIC LIBRARIES,County,3,27.67401,1.31098,31.75058,0.8716065,0.0412899,0,0.0871036
NC0024,CLEVELAND COUNTY MEMORIAL LIBRARY,County,1,11.5515,1.59073,13.89259,0.8314863,0.1145021,0.0006257,0.0533859
NC0025,COLUMBUS COUNTY PUBLIC LIBRARY,County,1,31.22008,2.1572,33.37728,0.9353692,0.0646308,0,0
NC0006,CRAVEN-PAMLICO REGIONAL LIBRARY,Regional,2,16.80404,2.6091,22.30249,0.7534605,0.1169871,0.0453072,0.0842452
NC0026,CUMBERLAND COUNTY PUBLIC LIBRARY,County,1,29.4147,1.16649,30.88767,0.9523121,0.0377654,0.0003877,0.0095347
NC0027,DAVIDSON COUNTY PUBLIC LIBRARY SYSTEM,County,2,22.93924,1.16086,24.45206,0.9381312,0.0474749,0.0018139,0.01258
NC0028,DAVIE COUNTY PUBLIC LIBRARY,County,2,14.63542,2.11232,19.16575,0.7636236,0.110213,0.0686946,0.0574688
NC0029,DUPLIN COUNTY LIBRARY,County,1,10.62393,4.29975,15.70273,0.6765656,0.2738218,0.0496126,0
NC0030,DURHAM COUNTY LIBRARY,County,3,35.62968,0.76528,37.1687,0.9585936,0.0205893,0.0003476,0.0204695
NC0007,EAST ALBEMARLE REGIONAL LIBRARY,Regional,2,24.10078,3.35086,27.73863,0.8688527,0.1208012,0.0008844,0.0094617
NC0031,EDGECOMBE COUNTY MEMORIAL LIBRARY,County,1,11.15642,2.30807,15.13045,0.7373493,0.1525445,0,0.1101062
NC0075,FARMVILLE PUBLIC LIBRARY,Municipal,1,94.51016,0.76005,98.17715,0.9626492,0.0077416,0.0296092,0
NC0008,FONTANA REGIONAL LIBRARY,Regional,1,26.35665,3.77933,37.53774,0.7021373,0.1006808,0.0939831,0.1031988
NC0032,FORSYTH COUNTY PUBLIC LIBRARY,County,2,21.9194,0.82424,22.74962,0.9635061,0.036231,0.000263,0
NC0033,FRANKLIN COUNTY LIBRARY,County,2,15.82254,1.61189,18.54178,0.8533452,0.086933,0.0597217,0
NC0105,GASTON COUNTY PUBLIC LIBRARY,County,2,19.14549,1.00351,20.149,0.9501956,0.0498044,0,0
NC0099,GEORGE H. AND LAURA E. BROWN PUBLIC LIBRARY,Municipal,1,60.99428,0.82855,63.46409,0.9610834,0.0130554,0.0019466,0.0239146
NC0111,GIBSONVILLE PUBLIC LIBRARY,Municipal,2,22.1518,0.71592,24.07308,0.9201897,0.0297392,0.036402,0.013669
NC0112,GIVENS MEMORIAL LIBRARY & TUFTS ARCHIVE,MUNICIPAL,3,8.29921,0.39858,21.83778,0.3800393,0.018252,0,0.6017087
NC0034,GRANVILLE COUNTY LIBRARY SYSTEM,County,2,27.47812,1.78584,29.93045,0.9180657,0.0596663,0.0115509,0.0107171
NC0035,GREENSBORO PUBLIC LIBRARY,County,2,22.84783,0.80803,23.75488,0.9618163,0.0340154,0,0.0041683
NC0062,H. LESLIE PERRY MEMORIAL LIBRARY,County,1,20.91032,2.85125,25.66899,0.8146139,0.1110778,0.0654209,0.0088874
NC0036,HALIFAX COUNTY LIBRARY SYSTEM,County,1,15.50891,1.30023,17.34595,0.8940938,0.0749589,0.0283892,0.0025581
NC0037,HARNETT COUNTY PUBLIC LIBRARY,County,2,52.61739,0.68651,56.43893,0.9322889,0.0121637,0.0555474,0
NC0102,HAROLD D. COOLEY LIBRARY,Municipal,1,25.18544,1.6785,27.18982,0.9262819,0.0617327,0.0119854,0
NC0038,HAYWOOD COUNTY PUBLIC LIBRARY,County,2,28.94252,1.18658,31.02373,0.9329158,0.0382476,0,0.0288366
NC0039,HENDERSON COUNTY PUBLIC LIBRARY,County,3,50.85869,0.67563,52.11272,0.9759361,0.0129648,0,0.0110991
NC0079,HICKORY PUBLIC LIBRARY,Municipal,2,45.79585,0.77303,46.93477,0.9757341,0.0164704,0.0077956,0
NC0080,HIGH POINT PUBLIC LIBRARY,Municipal,2,26.04906,0.6325,27.6144,0.9433144,0.0229048,0.0210391,0.0127416
NC0110,HOCUTT ELLINGTON MEMORIAL LIBRARY,Municipal,3,16.89168,1.16861,18.39291,0.9183801,0.0635356,0.0102731,0.0078112
NC0040,IREDELL COUNTY LIBRARY,County,3,67.15954,0.99921,68.69282,0.9776792,0.0145461,0.0077747,0
NC0100,JACOB MAUNEY MEMORIAL LIBRARY,Municipal,1,9.63016,1.83402,12.00479,0.8021933,0.1527741,0.0224705,0.0225621
NC0042,LEE COUNTY LIBRARY,County,2,23.71028,1.33145,25.94718,0.9137903,0.0513137,0.034896,0
NC0106,LINCOLN COUNTY PUBLIC LIBRARY,County,3,21.01851,3.73436,26.52181,0.7924993,0.1408032,0.0104356,0.0562619
NC0043,MADISON COUNTY PUBLIC LIBRARY,County,2,17.47628,2.25461,23.43549,0.7457184,0.0962049,0.1360454,0.0220312
NC0044,MCDOWELL COUNTY PUBLIC LIBRARY,County,2,62.80992,0.59353,65.92515,0.9527459,0.0090031,0.0300744,0.0081766
NC0083,MOORESVILLE PUBLIC LIBRARY,Municipal,3,15.92127,6.08934,22.45233,0.7091145,0.2712119,0.0092278,0.0104458
NC0011,NANTAHALA REGIONAL LIBRARY,Regional,2,14.5255,3.92453,27.88708,0.5208684,0.1407292,0.1028895,0.2355129
NC0012,NEUSE REGIONAL LIBRARY,Regional,1,20.7342,0.85778,22.44664,0.9237106,0.0382143,0.0034951,0.03458
NC0047,NEW HANOVER COUNTY PUBLIC LIBRARY,County,3,12.28214,2.72298,15.92534,0.7712326,0.1709841,0.0203496,0.0374337
NC0013,NORTHWESTERN REGIONAL LIBRARY,Regional,2,10.5651,1.13278,12.33992,0.8561732,0.091798,0.0117865,0.0402423
NC0048,ONSLOW COUNTY PUBLIC LIBRARY,County,1,26.30353,1.16907,28.56232,0.920917,0.0409306,0.0318911,0.0062613
NC0108,ORANGE COUNTY PUBLIC LIBRARY,County,3,13.48711,1.67339,15.1605,0.8896215,0.1103785,0,0
NC0049,PENDER COUNTY PUBLIC LIBRARY,County,3,19.44131,2.38732,25.23682,0.7703547,0.0945967,0.0944922,0.0405564
NC0109,PERSON COUNTY PUBLIC LIBRARY,County,2,13.92157,2.34427,17.12902,0.8127476,0.1368598,0.0357687,0.0146239
NC0014,PETTIGREW REGIONAL LIBRARY,Regional,1,17.8531,8.74364,30.31753,0.5888706,0.288402,0.0803743,0.0423531
NC0051,POLK COUNTY PUBLIC LIBRARIES,County,2,33.97766,3.89647,42.27737,0.8036843,0.0921644,0.0761166,0.0280347
NC0041,PUBLIC LIBRARY OF JOHNSTON COUNTY & SMITHFIELD,County,3,6.60171,1.02081,7.71557,0.8556351,0.132305,0.0058117,0.0062482
NC0052,RANDOLPH PUBLIC LIBRARY,County,2,20.42112,1.26658,24.26044,0.8417457,0.0522077,0.0092133,0.0968332
NC0088,ROANOKE RAPIDS PUBLIC LIBRARY,Municipal,1,14.51109,0.6698,16.01525,0.90608,0.0418228,0.0450661,0.0070311
NC0053,ROBESON COUNTY PUBLIC LIBRARY,County,1,9.41048,1.62519,11.36617,0.8279381,0.1429847,0.0060241,0.0230531
NC0054,ROCKINGHAM COUNTY PUBLIC LIBRARY,County,1,16.31214,1.52665,20.10866,0.8111995,0.07592,0.0487056,0.0641749
NC0055,ROWAN PUBLIC LIBRARY,County,2,28.70988,1.46307,30.80075,0.9321164,0.0475013,0,0.0203824
NC0056,RUTHERFORD COUNTY LIBRARY,County,1,9.54697,1.83582,13.53768,0.7052146,0.1356078,0.1201257,0.0390518
NC0057,SAMPSON-CLINTON PUBLIC LIBRARY,County,1,12.28506,2.12701,14.6313,0.8396427,0.145374,0.0113135,0.0036698
NC0015,SANDHILL REGIONAL LIBRARY SYSTEM,Regional,2,10.87219,2.43488,14.83672,0.7327888,0.1641115,0.0741094,0.0289903
NC0058,SCOTLAND COUNTY MEMORIAL LIBRARY,County,1,10.83696,2.99799,14.03256,0.7722723,0.2136451,0,0.0140826
NC0050,SHEPPARD MEMORIAL LIBRARY,County,1,13.04302,1.11819,14.71744,0.8862289,0.0759773,0.004335,0.0334588
NC0093,SOUTHERN PINES PUBLIC LIBRARY,Municipal,3,58.28864,0.45367,60.93515,0.9565684,0.0074451,0,0.0359865
NC0059,STANLY COUNTY PUBLIC LIBRARY,County,2,21.39613,1.7974,23.50662,0.9102172,0.0764634,0.0123567,0.0009627
NC0060,TRANSYLVANIA COUNTY LIBRARY,County,3,41.66278,2.58203,44.39468,0.9384633,0.0581607,0,0.003376
NC0061,UNION COUNTY PUBLIC LIBRARY,County,3,21.75317,0.81159,22.86118,0.9515331,0.0355009,0,0.012966
NC0063,WAKE COUNTY PUBLIC LIBRARIES,County,3,23.64441,0.52897,24.18139,0.9777937,0.0218752,0.0003311,0
NC0101,WARREN COUNTY MEMORIAL LIBRARY,County,1,25.60228,4.22456,29.98149,0.8539364,0.1409057,0,0.0051579
NC0065,WAYNE COUNTY PUBLIC LIBRARY,County,1,17.15088,2.14259,21.2732,0.8062203,0.1007181,0.0741583,0.0189034
NC0066,WILSON COUNTY PUBLIC LIBRARY,County,1,25.7973,1.62884,27.87697,0.9253981,0.0584296,0.0152613,0.000911
