FSCS Key,Library Name,Library Type,Staff Expenditures ($),Staff Expenditures Per Capita ($),% on Salaries and Wages,Total Collection Expenditures ($),Collection Expenditures Per Capita ($),% on Collections,Other Operating Expenditures ($),Other Expenditures Per Capita ($),% on Other,Total Operating Expenditures ($),Operating Expenditures Per Capita ($)
NC0103,ALAMANCE COUNTY PUBLIC LIBRARIES,County,2422551,14.26599,0.5525692,330226,1.94464,0.1053693,381209,2.24488,0.1216371,3133986,18.45551
NC0001,ALBEMARLE REGIONAL LIBRARY,Regional,881509,13.6613,0.5324557,103707,1.60721,0.0831114,262591,4.06954,0.210442,1247807,19.33805
NC0016,ALEXANDER COUNTY LIBRARY,County,441468,12.15328,0.5368209,45260,1.24597,0.0812359,70415,1.93847,0.1263859,557143,15.33773
NC0002,APPALACHIAN REGIONAL LIBRARY,Regional,2062027,14.03972,0.5823477,151289,1.03008,0.056741,452993,3.08429,0.1698952,2666309,18.15409
NC0003,AVERY-MITCHELL-YANCEY REGIONAL LIBRARY,Regional,598794,11.66012,0.4024396,72798,1.41757,0.072988,325805,6.3443,0.3266553,997397,19.42199
NC0004,BEAUFORT-HYDE-MARTIN REGIONAL LIBRARY,Regional,623561,10.21695,0.6796327,73879,1.2105,0.103072,19331,0.31674,0.0269696,716771,11.74418
NC0017,BLADEN COUNTY PUBLIC LIBRARY,County,564535,19.20056,0.6566223,22930,0.77988,0.0379226,17187,0.58455,0.0284246,604652,20.565
NC0046,BRASWELL MEMORIAL PUBLIC LIBRARY,County,1519555,16.93362,0.4965696,136145,1.51717,0.061548,556312,6.19943,0.2514959,2212012,24.65022
NC0018,BRUNSWICK COUNTY LIBRARY,County,1207954,8.41487,0.5668859,158625,1.10502,0.1087848,91575,0.63793,0.062802,1458154,10.15781
NC0019,BUNCOMBE COUNTY PUBLIC LIBRARIES,County,5094654,18.76802,0.5042277,749248,2.76013,0.1116838,864754,3.18564,0.1289012,6708656,24.71379
NC0020,BURKE COUNTY PUBLIC LIBRARY,County,1308590,14.91594,0.5616311,133012,1.51613,0.0803414,213983,2.43908,0.1292492,1655585,18.87115
