FSCS Key,Library Name,Library Type,Cataloged Adult Books,Cataloged Young Adult Books,Cataloged Juvenile Books,Book Volumes,Print Serial Subscriptions,Licensed Databases,Audio Physical Units,eAudio,Video Physical Units,eVideo,eBooks,ePeriodical Subscriptions,Total Holdings
NC0103,ALAMANCE COUNTY PUBLIC LIBRARIES,County,92438,9741,64278,166457,217,95,12669,37404,22208,2181,176878,4298,
NC0001,ALBEMARLE REGIONAL LIBRARY,Regional,118726,9145,63738,191609,536,89,9082,68422,15326,2670,254969,0,
NC0016,ALEXANDER COUNTY LIBRARY,County,26338,4091,18196,48625,20,87,2731,41321,3972,2494,209210,3538,
NC0002,APPALACHIAN REGIONAL LIBRARY,Regional,114830,9579,65388,189797,97,87,9676,35816,12935,3976,178922,4069,
NC0003,AVERY-MITCHELL-YANCEY REGIONAL LIBRARY,Regional,114575,2604,30134,147313,84,87,2427,41321,3686,2494,209210,3538,
NC0004,BEAUFORT-HYDE-MARTIN REGIONAL LIBRARY,Regional,55921,3125,36622,95668,26,87,1688,35484,6825,2181,172322,0,
NC0017,BLADEN COUNTY PUBLIC LIBRARY,County,32733,434,15830,48997,7,87,2230,41321,2874,2494,209210,3538,
NC0046,BRASWELL MEMORIAL PUBLIC LIBRARY,County,51358,6573,50048,107979,44,89,3864,41321,5128,2494,209210,3540,
NC0018,BRUNSWICK COUNTY LIBRARY,County,86084,3778,39014,128876,106,88,3915,36131,7682,2181,178746,0,
NC0019,BUNCOMBE COUNTY PUBLIC LIBRARIES,County,251014,23433,178095,452542,465,92,36505,77870,17810,2674,270127,8161,
NC0020,BURKE COUNTY PUBLIC LIBRARY,County,64164,7155,37271,108590,101,88,2495,42021,1223,2524,211998,3538,
NC0021,CABARRUS COUNTY PUBLIC LIBRARY,County,100170,14792,95320,210282,50,92,6035,67148,10912,4679,196810,4088,
NC0022,CALDWELL COUNTY PUBLIC LIBRARY,County,51020,9501,35216,95737,102,88,4304,73621,10070,3266,257092,0,
NC0113,Carteret County Public Library System,County,63786,5536,29928,99250,60,90,4700,70368,6590,3198,256582,0,
NC0107,CASWELL COUNTY PUBLIC LIBRARY,County,24482,2762,16874,44118,35,89,1033,41320,2590,2493,209209,3537,
NC0023,CATAWBA COUNTY LIBRARY,County,73065,9551,59414,142030,172,94,6934,68551,21172,2670,255125,0,
NC0071,CHAPEL HILL PUBLIC LIBRARY,Municipal,97588,9196,82717,189501,45,87,8189,68993,13207,2670,256781,0,
NC0045,CHARLOTTE MECKLENBURG LIBRARY,County,372197,56761,336937,765895,1126,122,34414,290782,27171,2831,429623,4057,
NC0104,CHATHAM COUNTY PUBLIC LIBRARIES,County,42263,2814,27426,72503,172,89,2698,41443,6203,2499,210372,3538,
NC0024,CLEVELAND COUNTY MEMORIAL LIBRARY,County,56811,3378,29200,89389,75,90,2047,41516,4053,2500,209434,3542,
NC0025,COLUMBUS COUNTY PUBLIC LIBRARY,County,79593,6710,41626,127929,296,86,1254,41321,3725,2494,209578,3538,
NC0006,CRAVEN-PAMLICO REGIONAL LIBRARY,Regional,141071,8460,65515,215046,26,94,6771,39999,9606,2353,185061,3876,
NC0026,CUMBERLAND COUNTY PUBLIC LIBRARY,County,211844,32121,171342,415307,392,108,22829,68422,32846,2670,254969,0,
NC0027,DAVIDSON COUNTY PUBLIC LIBRARY SYSTEM,County,172850,22833,87092,282775,87,100,23898,81444,17637,7080,280897,0,
NC0028,DAVIE COUNTY PUBLIC LIBRARY,County,33042,3182,23907,60131,1,92,3322,41411,2811,2498,209484,3605,
NC0029,DUPLIN COUNTY LIBRARY,County,47570,2184,28454,78208,40,86,2428,41847,7246,2502,211195,3538,
NC0030,DURHAM COUNTY LIBRARY,County,314102,26810,229582,570494,139,109,32517,50927,53321,2181,224100,4318,
NC0007,EAST ALBEMARLE REGIONAL LIBRARY,Regional,135603,8740,70995,215338,122,97,6987,36383,19179,2181,175582,0,
NC0031,EDGECOMBE COUNTY MEMORIAL LIBRARY,County,63818,3767,26294,93879,99,89,1712,210772,1643,2181,855941,77,
NC0075,FARMVILLE PUBLIC LIBRARY,Municipal,15978,2037,11681,29696,66,86,610,41321,1520,2494,209210,3538,
NC0008,FONTANA REGIONAL LIBRARY,Regional,141147,8895,80030,230072,260,88,10667,41321,18909,2494,209210,3538,
NC0032,FORSYTH COUNTY PUBLIC LIBRARY,County,330719,24075,185207,540001,756,116,31131,74623,40453,2903,303923,77,
NC0033,FRANKLIN COUNTY LIBRARY,County,59453,4838,43625,107916,145,88,1467,41321,5415,2494,209210,3538,
NC0105,GASTON COUNTY PUBLIC LIBRARY,County,214778,20801,126541,362120,232,94,9295,248282,30280,27486,950680,77,
NC0099,GEORGE H. AND LAURA E. BROWN PUBLIC LIBRARY,Municipal,25793,2523,12169,40485,7,96,1545,41343,2656,2494,209588,3538,
NC0111,GIBSONVILLE PUBLIC LIBRARY,Municipal,4812,1031,4655,10498,7,88,236,37851,1135,2504,173973,10,
NC0112,GIVENS MEMORIAL LIBRARY & TUFTS ARCHIVE,MUNICIPAL,10530,459,4277,15266,12,86,1368,41321,0,2494,209210,3538,
NC0034,GRANVILLE COUNTY LIBRARY SYSTEM,County,61045,5486,37086,103617,40,91,2490,41321,7292,2494,209210,3538,
NC0035,GREENSBORO PUBLIC LIBRARY,County,167133,139735,189571,496439,622,97,20978,68422,63117,2751,255327,4099,
NC0062,H. LESLIE PERRY MEMORIAL LIBRARY,County,42018,3850,23923,69791,32,90,2161,41439,1878,2494,209586,3538,
NC0036,HALIFAX COUNTY LIBRARY SYSTEM,County,43294,1236,23397,67927,4,87,1055,41321,276,2494,209210,3538,
NC0037,HARNETT COUNTY PUBLIC LIBRARY,County,84104,6991,86430,177525,113,90,4670,42328,10766,2575,210946,4065,
NC0102,HAROLD D. COOLEY LIBRARY,Municipal,9686,1241,7139,18066,25,86,790,41321,2037,2494,209210,3538,
NC0038,HAYWOOD COUNTY PUBLIC LIBRARY,County,71225,3936,32357,107518,96,96,5916,68780,8855,2670,255560,4096,
NC0039,HENDERSON COUNTY PUBLIC LIBRARY,County,162677,12875,74137,249689,5,94,12862,68422,18394,2670,254969,4096,
NC0079,HICKORY PUBLIC LIBRARY,Municipal,60492,7301,40738,108531,150,93,6666,73526,12360,4877,258764,0,
NC0080,HIGH POINT PUBLIC LIBRARY,Municipal,163751,4293,72691,240735,210,106,4971,243068,23942,64473,1251797,0,
NC0110,HOCUTT ELLINGTON MEMORIAL LIBRARY,Municipal,12386,2077,13326,27789,9,86,1069,41816,361,2508,216059,3538,
NC0040,IREDELL COUNTY LIBRARY,County,121322,12385,54040,187747,24,92,6976,42891,261,2468,192827,4065,
NC0100,JACOB MAUNEY MEMORIAL LIBRARY,Municipal,20104,2546,16822,39472,54,88,573,41321,3174,2494,209210,3538,
NC0042,LEE COUNTY LIBRARY,County,73482,4577,27316,105375,77,86,3517,41321,7392,2494,209210,3538,
NC0106,LINCOLN COUNTY PUBLIC LIBRARY,County,86850,7259,64105,158214,51,90,8859,69983,15033,2670,258753,8161,
NC0043,MADISON COUNTY PUBLIC LIBRARY,County,30028,2056,17131,49215,34,87,3372,41321,6393,2494,209210,3538,
NC0044,MCDOWELL COUNTY PUBLIC LIBRARY,County,41922,2478,16113,60513,88,91,3335,41321,8018,2494,209210,3538,
NC0083,MOORESVILLE PUBLIC LIBRARY,Municipal,48806,5275,50685,104766,76,95,5063,70516,9369,2832,260680,0,
NC0011,NANTAHALA REGIONAL LIBRARY,Regional,79082,5070,33336,117488,10,88,6875,41769,11104,2494,210171,3538,
NC0012,NEUSE REGIONAL LIBRARY,Regional,62441,6337,26981,95759,159,90,3267,41599,6160,2494,209701,3538,
NC0047,NEW HANOVER COUNTY PUBLIC LIBRARY,County,174923,13268,105741,293932,337,143,10101,81048,15220,2670,274551,8192,
NC0013,NORTHWESTERN REGIONAL LIBRARY,Regional,182454,13001,125974,321429,80,87,6354,35782,15389,2189,174453,0,
NC0048,ONSLOW COUNTY PUBLIC LIBRARY,County,56781,7509,37789,102079,87,93,9085,72968,12076,3274,259085,58,
NC0108,ORANGE COUNTY PUBLIC LIBRARY,County,39094,5435,51154,95683,5,87,3683,47509,8115,2976,181263,0,
NC0049,PENDER COUNTY PUBLIC LIBRARY,County,63771,6144,44615,114530,69,88,2887,41321,2813,2494,209210,3538,
NC0109,PERSON COUNTY PUBLIC LIBRARY,County,30475,2733,26176,59384,124,93,2375,41393,2007,2494,209813,3538,
NC0014,PETTIGREW REGIONAL LIBRARY,Regional,85655,4603,39862,130120,150,89,5299,41321,12859,2494,209210,3538,
NC0051,POLK COUNTY PUBLIC LIBRARIES,County,24477,2809,10860,38146,52,86,2958,68422,7927,2670,254969,4096,
NC0041,PUBLIC LIBRARY OF JOHNSTON COUNTY & SMITHFIELD,County,121353,11161,69322,201836,12,86,6787,37766,7209,2181,176987,0,
NC0052,RANDOLPH PUBLIC LIBRARY,County,144919,16580,91822,253321,191,93,7956,35978,31429,2181,181383,4065,
NC0088,ROANOKE RAPIDS PUBLIC LIBRARY,Municipal,11885,2241,10125,24251,35,86,1064,41321,2975,2494,209210,3538,
NC0053,ROBESON COUNTY PUBLIC LIBRARY,County,64945,5906,35526,106377,26,87,976,41321,5498,2494,209210,3538,
NC0054,ROCKINGHAM COUNTY PUBLIC LIBRARY,County,147484,7905,49628,205017,170,89,6931,35484,12784,2181,175542,0,
NC0055,ROWAN PUBLIC LIBRARY,County,111183,10223,63791,185197,146,91,3026,68422,13116,2670,256596,0,
NC0056,RUTHERFORD COUNTY LIBRARY,County,90129,5839,47633,143601,37,86,5941,68422,14223,2670,278922,0,
NC0057,SAMPSON-CLINTON PUBLIC LIBRARY,County,52280,3346,41130,96756,60,93,723,41321,5443,2494,209210,3538,
NC0015,SANDHILL REGIONAL LIBRARY SYSTEM,Regional,150827,15866,93784,260477,4,86,7215,35764,15250,2185,181878,3434,
NC0058,SCOTLAND COUNTY MEMORIAL LIBRARY,County,22816,2807,13141,38764,31,93,3525,41321,4294,2494,209210,3538,
NC0050,SHEPPARD MEMORIAL LIBRARY,County,131512,11260,82490,225262,193,94,9964,37977,10124,2181,206428,4064,
NC0093,SOUTHERN PINES PUBLIC LIBRARY,Municipal,35344,2756,18066,56166,60,97,1899,69222,1325,2670,256469,4096,
NC0059,STANLY COUNTY PUBLIC LIBRARY,County,83268,4455,38756,126479,39,88,3667,41321,7933,2494,209210,3538,
NC0060,TRANSYLVANIA COUNTY LIBRARY,County,71409,6363,37995,115767,46,102,5617,566682,9280,75030,936452,92,
NC0061,UNION COUNTY PUBLIC LIBRARY,County,62947,9978,48786,121711,140,98,2613,546042,9050,56180,874022,4395,
NC0063,WAKE COUNTY PUBLIC LIBRARIES,County,859718,82914,823512,1766144,140,90,19287,80915,0,2181,251316,3819,
NC0101,WARREN COUNTY MEMORIAL LIBRARY,County,20252,1533,7511,29296,22,86,1070,35484,1693,2181,172322,0,
NC0065,WAYNE COUNTY PUBLIC LIBRARY,County,68332,7170,46660,122162,149,91,5261,41321,5204,2494,209401,3538,
NC0066,WILSON COUNTY PUBLIC LIBRARY,County,96561,9159,61310,167030,88,94,3312,35889,6592,2181,173969,0,
