FSCS Key,Library Name,Library Type,% Adult Books,% Young Adult Books,% Juvenile Books,% Holdings are Books,Book Volumes Per Capita,eBooks Per Capita,Serial Subscriptions Per 1000,% Holdings Electronic,% Holdings Physical
NC0103,ALAMANCE COUNTY PUBLIC LIBRARIES,County,0.5553266008638867,0.05851961767904023,0.386153781457073,0.3898007,0.9802370843221662,1.0416,2.5015,0.5169672,0.4828104
NC0001,ALBEMARLE REGIONAL LIBRARY,Regional,0.6196264267336086,0.047727403201311004,0.33264617006508046,0.3509187,2.9694851687691783,3.95141,13.26963,0.5971584,0.4026787
NC0016,ALEXANDER COUNTY LIBRARY,County,0.5416555269922879,0.08413367609254499,0.3742107969151671,0.1557989,1.338609772883689,5.75939,2.53678,0.8220512,0.17767
NC0002,APPALACHIAN REGIONAL LIBRARY,Regional,0.6050148316359057,0.050469712376907956,0.3445154559871863,0.4318151,1.2922700873555706,1.21823,1.02976,0.506863,0.4929391
NC0003,AVERY-MITCHELL-YANCEY REGIONAL LIBRARY,Regional,0.7777657097472728,0.01767664768214618,0.204557642570581,0.3589209,2.8685788838259922,4.07388,1.92154,0.6251032,0.3746848
NC0004,BEAUFORT-HYDE-MARTIN REGIONAL LIBRARY,Regional,0.5845319229000293,0.03266504996446042,0.3828030271355103,0.304155,1.5675055708480796,2.82347,1.47267,0.6676067,0.3321167
NC0017,BLADEN COUNTY PUBLIC LIBRARY,County,0.6680613098761149,0.00885768516439782,0.32308100495948733,0.1575507,1.6664512618189238,7.1155,0.72061,0.8249826,0.1747376
NC0046,BRASWELL MEMORIAL PUBLIC LIBRARY,County,0.4756295205549227,0.06087294751757286,0.4634975319275044,0.2876318,1.2032963359186948,2.33139,0.71897,0.6834316,0.3163313
NC0018,BRUNSWICK COUNTY LIBRARY,County,0.6679598994382197,0.029315000465563797,0.3027251000962165,0.3601679,0.8977777777777778,1.24518,2.65013,0.6066089,0.3931452
NC0019,BUNCOMBE COUNTY PUBLIC LIBRARIES,County,0.5546755881222074,0.05178082918270569,0.3935435826950869,0.5222064,1.6671038186948801,0.99511,3.61182,0.4140707,0.5858232
NC0020,BURKE COUNTY PUBLIC LIBRARY,County,0.5908831384105351,0.06589004512386039,0.34322681646560455,0.2902669,1.237760882698248,2.41645,6.83819,0.6952104,0.3045543
NC0021,CABARRUS COUNTY PUBLIC LIBRARY,County,0.47636031614688845,0.07034363378700982,0.4532960500661017,0.4202639,0.9094062189162306,0.85114,0.61281,0.5450608,0.4547553
NC0022,CALDWELL COUNTY PUBLIC LIBRARY,County,0.5329183074464419,0.09924062797037718,0.367841064583181,0.2151891,1.185039857404565,3.1823,5.3704,0.7506884,0.2491138
NC0113,Carteret County Public Library System,County,0.6426801007556675,0.055778337531486144,0.30154156171284635,0.2250113,1.4534883720930232,3.75757,1.36326,0.7484839,0.2513121
NC0107,CASWELL COUNTY PUBLIC LIBRARY,County,0.5549208939661816,0.06260483249467337,0.38247427353914504,0.1448753,1.9693777341308811,9.33885,9.1647,0.8424919,0.1572159
NC0023,CATAWBA COUNTY LIBRARY,County,0.5144335703724565,0.06724635640357671,0.41832007322396675,0.2807544,1.2059332971063714,2.16619,1.69798,0.6450966,0.3547176
NC0071,CHAPEL HILL PUBLIC LIBRARY,Municipal,0.5149735357597057,0.04852744840396621,0.43649901583632805,0.351199,3.0669051125604883,4.15577,0.73568,0.6086997,0.3911391
NC0045,CHARLOTTE MECKLENBURG LIBRARY,County,0.4859634806337683,0.0741106809680178,0.43992583839821386,0.4890045,0.682931157165251,0.38309,0.941,0.4643581,0.535564
NC0104,CHATHAM COUNTY PUBLIC LIBRARIES,County,0.5829138104630153,0.03881218708191385,0.3782740024550708,0.2134456,0.9364892792560062,2.71728,4.64263,0.7591049,0.2406331
NC0024,CLEVELAND COUNTY MEMORIAL LIBRARY,County,0.6355479980758258,0.03778988466142366,0.32666211726275046,0.2507082,0.9861219896962944,2.31043,2.41725,0.7207822,0.2789654
NC0025,COLUMBUS COUNTY PUBLIC LIBRARY,County,0.6221654198813404,0.052450968896809946,0.3253836112218496,0.3275771,2.539836010244396,4.16085,6.5936,0.6579017,0.3418781
NC0006,CRAVEN-PAMLICO REGIONAL LIBRARY,Regional,0.6560038317383258,0.03934042018916883,0.3046557480725054,0.4612237,1.8810552649533774,1.61877,0.37901,0.4960611,0.5037373
NC0026,CUMBERLAND COUNTY PUBLIC LIBRARY,County,0.5100901260994879,0.07734278497593347,0.41256708892457866,0.5122516,1.2140568635590296,0.74534,5.73997,0.4021731,0.5976937
NC0027,DAVIDSON COUNTY PUBLIC LIBRARY SYSTEM,County,0.6112633719388206,0.08074617628856864,0.30799045177261075,0.4068652,1.7227251681450433,1.71128,0.72294,0.5315341,0.468322
NC0028,DAVIE COUNTY PUBLIC LIBRARY,County,0.5495002577705344,0.05291779614508323,0.3975819460843824,0.1856674,1.3893484288354898,4.8402,0.05837,0.7935368,0.2061791
NC0029,DUPLIN COUNTY LIBRARY,County,0.6082497954173486,0.027925531914893616,0.36382467266775775,0.224127,1.604135045329614,4.33185,35.27337,0.7424723,0.2572812
NC0030,DURHAM COUNTY LIBRARY,County,0.5505789719085564,0.0469943592745936,0.40242666881684996,0.60707,1.7549773588620368,0.68939,0.53864,0.2995754,0.7003086
NC0007,EAST ALBEMARLE REGIONAL LIBRARY,Regional,0.6297216468992932,0.04058735569198191,0.3296909974087249,0.4703695,1.819117212249208,1.48327,1.77672,0.4677658,0.5320223
NC0031,EDGECOMBE COUNTY MEMORIAL LIBRARY,County,0.6797899423726286,0.04012611979249885,0.28008393783487257,0.0804338,1.943222040529072,17.71731,3.43285,0.9158751,0.0840486
NC0075,FARMVILLE PUBLIC LIBRARY,Municipal,0.5380522629310345,0.06859509698275862,0.3933526400862069,0.1027956,6.703386004514672,47.22573,1.44347,0.8881177,0.1115846
NC0008,FONTANA REGIONAL LIBRARY,Regional,0.6134905594770332,0.0386618102159324,0.3478476303070343,0.4411888,2.4412376384703536,2.21988,6.17123,0.4919882,0.507843
NC0032,FORSYTH COUNTY PUBLIC LIBRARY,County,0.6124414584417436,0.04458325077175783,0.3429752907864985,0.5387538,1.406366138933091,0.79153,4.89675,0.3806448,0.6192395
NC0033,FRANKLIN COUNTY LIBRARY,County,0.5509192334778902,0.044831164980169765,0.40424960154194,0.2894564,1.5152485256950294,2.93752,6.36439,0.688163,0.3116009
NC0105,GASTON COUNTY PUBLIC LIBRARY,County,0.5931127802938253,0.05744228432563791,0.34944493538053684,0.2220806,1.5631798874192768,4.10384,2.41142,0.7522021,0.2477402
NC0099,GEORGE H. AND LAURA E. BROWN PUBLIC LIBRARY,Municipal,0.6371001605532913,0.06231937754723972,0.30058046189946896,0.1337335,4.134075359950986,21.40182,1.03535,0.8488219,0.150861
NC0111,GIBSONVILLE PUBLIC LIBRARY,Municipal,0.4583730234330349,0.09820918270146695,0.4434177938654982,0.0463484,,19.08226,0,0.9462963,0.0533152
NC0112,GIVENS MEMORIAL LIBRARY & TUFTS ARCHIVE,MUNICIPAL,0.6897681121446352,0.030066815144766147,0.2801650727105987,0.0558591,0.8446387075356866,11.57519,1.3541,0.9387768,0.0609085
NC0034,GRANVILLE COUNTY LIBRARY SYSTEM,County,0.5891407780576546,0.0529449800708378,0.35791424187150755,0.2788169,1.6944726083401471,3.42126,3.83436,0.6903703,0.3093848
NC0035,GREENSBORO PUBLIC LIBRARY,County,0.33666371900676617,0.2814746625466573,0.3818616184465765,0.5266447,1.154498562804067,0.59378,1.60852,0.3507142,0.6491829
NC0062,H. LESLIE PERRY MEMORIAL LIBRARY,County,0.6020547061942084,0.055164706050923475,0.3427805877548681,0.2105246,2.107407071896609,4.95827,1.96247,0.7754125,0.224316
NC0036,HALIFAX COUNTY LIBRARY SYSTEM,County,0.6373606960413385,0.018196004534279445,0.34444329942438207,0.2081441,0.4964698143546265,6.3173,1.25431,0.7861687,0.2135647
NC0037,HARNETT COUNTY PUBLIC LIBRARY,County,0.4737586255456978,0.03938036896211801,0.4868610054921842,0.3852054,30.987083260603946,1.54178,1.11477,0.5639785,0.4358262
NC0102,HAROLD D. COOLEY LIBRARY,Municipal,0.5361452452120005,0.06869257168161187,0.3951621831063877,0.0650666,0.2890791263301064,36.51772,8.5237,0.9240386,0.0756517
NC0038,HAYWOOD COUNTY PUBLIC LIBRARY,County,0.6624472181402183,0.036607823806246394,0.3009449580535352,0.2366341,0.921240682032388,4.08929,3.13316,0.7287241,0.2710646
NC0039,HENDERSON COUNTY PUBLIC LIBRARY,County,0.6515184890003164,0.05156414579737193,0.29691736520231166,0.4079146,5.665350668209562,2.18464,0.07238,0.5393744,0.460472
NC0079,HICKORY PUBLIC LIBRARY,Municipal,0.5573707051441523,0.0672711022657121,0.37535819259013553,0.2334166,0.9470914707576313,5.87126,4.0762,0.7251418,0.2746582
NC0080,HIGH POINT PUBLIC LIBRARY,Municipal,0.6802126819947245,0.017832886784223317,0.3019544312210522,0.1265511,8.540336313324818,10.92376,1.23963,0.8197227,0.1802216
NC0110,HOCUTT ELLINGTON MEMORIAL LIBRARY,Municipal,0.44571593076397137,0.07474180431105833,0.4795422649249703,0.0947492,0.1996235821474495,7.66493,2.14082,0.8998636,0.0998432
NC0040,IREDELL COUNTY LIBRARY,County,0.6461994066483087,0.06596643355153478,0.2878341598001566,0.4252779,16.440192644483364,1.38518,0.33688,0.5487384,0.4510532
NC0100,JACOB MAUNEY MEMORIAL LIBRARY,Municipal,0.5093230644507499,0.06450141872719903,0.42617551682205107,0.1301701,0.6160953986389461,18.31961,4.56814,0.8460892,0.1536206
NC0042,LEE COUNTY LIBRARY,County,0.6973380782918149,0.04343534994068802,0.259226571767497,0.2820153,1.1766380812005897,3.26544,3.29454,0.6866399,0.3131299
NC0106,LINCOLN COUNTY PUBLIC LIBRARY,County,0.5489400432325837,0.04588089549597381,0.4051790612714425,0.3024118,7.377319779912338,2.88929,0.87378,0.6490517,0.3507762
NC0043,MADISON COUNTY PUBLIC LIBRARY,County,0.6101391852077619,0.041775881336990756,0.3480849334552474,0.1556978,1.1013023630504835,9.7552,2.92851,0.8116694,0.1880554
NC0044,MCDOWELL COUNTY PUBLIC LIBRARY,County,0.6927767587130038,0.04094987853849586,0.26627336274850033,0.1839698,1.1516414501855552,4.68157,4.92638,0.7799951,0.2197283
NC0083,MOORESVILLE PUBLIC LIBRARY,Municipal,0.4658572437622893,0.05035030448809728,0.48379245174961344,0.2294597,2.1705962789541293,4.96108,1.20348,0.7315918,0.2682001
NC0011,NANTAHALA REGIONAL LIBRARY,Regional,0.6731070407190521,0.04315334332016887,0.28373961596077896,0.2983739,1.395725673283676,4.35443,1.98689,0.6551487,0.3446278
NC0012,NEUSE REGIONAL LIBRARY,Regional,0.6520640357564302,0.06617654737413715,0.2817594168694326,0.2625685,0.41644668461314327,2.49119,3.6337,0.7055972,0.294156
NC0047,NEW HANOVER COUNTY PUBLIC LIBRARY,County,0.5951138358531906,0.04513969217370004,0.35974647197310944,0.4281253,1.786071495846727,1.194,2.77234,0.5337671,0.4660246
NC0013,NORTHWESTERN REGIONAL LIBRARY,Regional,0.5676339098214536,0.04044750162555339,0.39191858855299305,0.5753406,1.556330799399603,1.06006,1.15699,0.3802275,0.6196167
NC0048,ONSLOW COUNTY PUBLIC LIBRARY,County,0.5562456528766936,0.0735606735959404,0.37019367352736604,0.2215747,1.1431915155723293,1.25447,2.20683,0.7279932,0.271805
NC0108,ORANGE COUNTY PUBLIC LIBRARY,County,0.40857832634846314,0.056802148762058045,0.5346195248894788,0.2814073,1.5193083298929786,2.02998,0.09621,0.6815797,0.3181644
NC0049,PENDER COUNTY PUBLIC LIBRARY,County,0.5568060770103903,0.05364533310049768,0.389548589889112,0.3026299,2.70948663354625,3.32195,7.25018,0.6779328,0.3218346
NC0109,PERSON COUNTY PUBLIC LIBRARY,County,0.5131853697965783,0.04602249764246261,0.44079213256095917,0.1847126,1.5039254419287849,5.3136,17.68145,0.8001331,0.1995776
NC0014,PETTIGREW REGIONAL LIBRARY,Regional,0.6582769750999078,0.03537503842606825,0.306347986474024,0.3198458,3.1757498840699974,5.10605,6.74673,0.6306533,0.3691279
NC0051,POLK COUNTY PUBLIC LIBRARIES,County,0.6416662297488597,0.07363812719551198,0.2846956430556284,0.1004839,1.950304207781584,13.03589,4.8932,0.869697,0.1300764
NC0041,PUBLIC LIBRARY OF JOHNSTON COUNTY & SMITHFIELD,County,0.6012455657068114,0.05529737014209556,0.34345706415109295,0.4620449,1.0169443702669885,0.89174,0.14338,0.4966074,0.5031957
NC0052,RANDOLPH PUBLIC LIBRARY,County,0.5720765353050082,0.06545055482964303,0.3624729098653487,0.4894174,1.7466077387683059,1.25061,1.36389,0.4320098,0.5678105
NC0088,ROANOKE RAPIDS PUBLIC LIBRARY,Municipal,0.49008288318007504,0.09240856047173313,0.41750855634819184,0.085099,1.6063456315824336,13.85772,0,0.9003032,0.099395
NC0053,ROBESON COUNTY PUBLIC LIBRARY,County,0.6105173110728823,0.05551952019703507,0.33396316873008264,0.2878734,0.9132248787397519,1.79603,2.44706,0.6943011,0.3054635
NC0054,ROCKINGHAM COUNTY PUBLIC LIBRARY,County,0.7193744908958769,0.03855777813547169,0.2420677309686514,0.4646067,2.2355898196410267,1.91418,4.20948,0.4831668,0.5166315
NC0055,ROWAN PUBLIC LIBRARY,County,0.6003498976765282,0.05520067819673105,0.34444942412674073,0.3305767,1.2530328351342026,1.73611,1.55309,0.5849232,0.4149144
NC0056,RUTHERFORD COUNTY LIBRARY,County,0.6276349050494078,0.04066127673205618,0.33170381821853606,0.2792224,2.234582885953037,4.34032,1.35402,0.6805784,0.3192543
NC0057,SAMPSON-CLINTON PUBLIC LIBRARY,County,0.5403282483773616,0.03458183471826037,0.42508991690437803,0.268692,1.639404259645199,3.54479,3.28407,0.7124771,0.2872646
NC0015,SANDHILL REGIONAL LIBRARY SYSTEM,Regional,0.579041527658872,0.06091132806351424,0.36004714427761375,0.5124161,1.2278253081618704,0.85733,0.0502,0.439204,0.5606268
NC0058,SCOTLAND COUNTY MEMORIAL LIBRARY,County,0.5885873490867816,0.07241254772469301,0.3390001031885254,0.1277914,1.164363811125796,6.28409,2.2467,0.8457991,0.1538943
NC0050,SHEPPARD MEMORIAL LIBRARY,County,0.5838179542044375,0.049986238247019026,0.3661958075485435,0.4309107,1.3441736681306091,1.23179,2.93006,0.4794762,0.520344
NC0093,SOUTHERN PINES PUBLIC LIBRARY,Municipal,0.6292774988427162,0.04906883167752733,0.32165366947975643,0.1431287,3.5189524465885595,16.06848,8.44357,0.8472055,0.1525473
NC0059,STANLY COUNTY PUBLIC LIBRARY,County,0.6583543513152381,0.03522323864040671,0.30642241004435516,0.3176412,2.018528862573613,3.33887,1.18175,0.644336,0.355443
NC0060,TRANSYLVANIA COUNTY LIBRARY,County,0.6168338127445645,0.054963849801756975,0.3282023374536785,0.0675234,3.470129792272414,28.07026,2.35006,0.9205488,0.0793917
NC0061,UNION COUNTY PUBLIC LIBRARY,County,0.5171841493373648,0.08198108634388017,0.4008347643187551,0.0748923,0.5009755173946688,3.59757,0.73705,0.9110806,0.0888591
NC0063,WAKE COUNTY PUBLIC LIBRARIES,County,0.4867768426583563,0.046946341861139294,0.4662768154805044,0.8246909,1.5348137951651224,0.2184,0.3857,0.157935,0.8420229
NC0101,WARREN COUNTY MEMORIAL LIBRARY,County,0.6912889131622064,0.05232796286182414,0.2563831239759694,0.1206863,1.5541644562334218,9.14175,3.07908,0.8650518,0.1345939
NC0065,WAYNE COUNTY PUBLIC LIBRARY,County,0.5593556097640837,0.058692555786578476,0.3819518344493378,0.3132905,1.038245142866856,1.77968,3.17962,0.6584584,0.3413082
NC0066,WILSON COUNTY PUBLIC LIBRARY,County,0.5781057295096689,0.05483446087529186,0.3670598096150392,0.4275465,2.126172685497524,2.2145,2.96416,0.5427559,0.4570035
